instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_L_CF3_R03,L,CF3,176,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,10.74766355140187,58.344529240974225,0.16575150352549495,56.63424585899338,0.16089274391759484,4040.0
CB1_CORE_L_CF3_R04,L,CF3,174,Adapted DCGA,DCGA,5,45.48583531903627,348.0656754710071,1.0001887226178365,310.3339220470225,0.8917641438132831,2832.0
CB1_CORE_L_CF3_R04,L,CF3,174,CSG-NI Phase6H provisional,CSG-NI,5,3.230076780513635,348.0075569350156,1.0000217153305047,1.4149962569936179,0.004066081198257522,16275.0
CB1_CORE_L_CF3_R04,L,CF3,174,DABC-RIACRSP,DABC,5,29.600211808313475,348.01041171199176,1.00002991871262,337.03840836999007,0.968501173476983,19660.0
CB1_CORE_L_CF3_R04,L,CF3,174,GA,GA,5,26.317182949430766,348.02505494700745,1.0000719969741594,330.15814748298726,0.9487303088591588,8788.0
CB1_CORE_L_CF3_R04,L,CF3,174,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,20.015885623510723,56.16174489702098,0.16138432441672695,54.97254099295242,0.1579670718188288,4040.0
CB1_CORE_L_CF3_R05,L,CF3,183,Adapted DCGA,DCGA,5,50.88672768878718,366.0364456399984,1.0000995782513618,298.25380885699997,0.8149011170956283,2646.0
CB1_CORE_L_CF3_R05,L,CF3,183,CSG-NI Phase6H provisional,CSG-NI,5,3.8901601830663615,366.02712859603344,1.0000741218470859,0.8566785280127078,0.0023406517158817155,15892.0
CB1_CORE_L_CF3_R05,L,CF3,183,DABC-RIACRSP,DABC,5,38.7299771167048,366.0025470640394,1.0000069591913645,346.93792267498793,0.9479178215163605,20604.0
CB1_CORE_L_CF3_R05,L,CF3,183,GA,GA,5,30.463386727688786,366.023124542,1.000063181808743,334.5916943839984,0.9141849573333289,8611.0
CB1_CORE_L_CF3_R05,L,CF3,183,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,24.914187643020593,62.60817382397363,0.17106058421850717,56.122447766014375,0.1533400212186185,4040.0
CB1_CORE_M_CF1_R01,M,CF1,114,Adapted DCGA,DCGA,5,30.368589743589745,228.0725330010173,1.0003181271974442,145.8233613720222,0.6395761463685183,4062.0
