instance,instance_seed,split,group,level,training_seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_M_72018,72018,phase5b_holdout,M,M,520103,1337.0,1340.3333333333333,1334.0,1337.0,0.0,True
synthetic_M_72019,72019,phase5b_holdout,M,M,520101,1266.0,1261.6666666666667,1252.3333333333333,1290.0,1.8957345971563981,True
synthetic_M_72019,72019,phase5b_holdout,M,M,520102,1266.0,1261.6666666666667,1252.3333333333333,1262.0,-0.315955766192733,True
synthetic_M_72019,72019,phase5b_holdout,M,M,520103,1266.0,1261.6666666666667,1252.3333333333333,1262.0,-0.315955766192733,True
synthetic_M_72020,72020,phase5b_holdout,M,M,520101,1433.0,1265.3333333333333,1168.6666666666667,985.0,-31.263084438241453,True
synthetic_M_72020,72020,phase5b_holdout,M,M,520102,1433.0,1265.3333333333333,1168.6666666666667,978.0,-31.751570132588974,True
synthetic_M_72020,72020,phase5b_holdout,M,M,520103,1433.0,1265.3333333333333,1168.6666666666667,1178.0,-17.79483600837404,True
synthetic_L_73001,73001,phase5b_holdout,L,L,520101,1983.0,1556.0,1519.6666666666667,1501.0,-24.306606152294503,True
synthetic_L_73001,73001,phase5b_holdout,L,L,520102,1983.0,1556.0,1519.6666666666667,1484.0,-25.163893091275845,True
synthetic_L_73001,73001,phase5b_holdout,L,L,520103,1983.0,1556.0,1519.6666666666667,1512.0,-23.751891074130107,True
synthetic_L_73002,73002,phase5b_holdout,L,L,520101,6325.0,5843.666666666667,5889.0,3183.0,-49.67588932806324,True
synthetic_L_73002,73002,phase5b_holdout,L,L,520102,6325.0,5843.666666666667,5889.0,5437.0,-14.039525691699605,True
synthetic_L_73002,73002,phase5b_holdout,L,L,520103,6325.0,5843.666666666667,5889.0,6322.0,-0.04743083003952569,True
synthetic_L_73003,73003,phase5b_holdout,L,L,520101,2807.0,2832.6666666666665,2808.6666666666665,2403.0,-14.39258995368721,True
synthetic_L_73003,73003,phase5b_holdout,L,L,520102,2807.0,2832.6666666666665,2808.6666666666665,2513.0,-10.473815461346634,True
synthetic_L_73003,73003,phase5b_holdout,L,L,520103,2807.0,2832.6666666666665,2808.6666666666665,2565.0,-8.62130388314927,True
synthetic_L_73004,73004,phase5b_holdout,L,L,520101,2576.0,2284.6666666666665,2319.0,2299.0,-10.753105590062113,True
synthetic_L_73004,73004,phase5b_holdout,L,L,520102,2576.0,2284.6666666666665,2319.0,2162.0,-16.071428571428573,True
synthetic_L_73004,73004,phase5b_holdout,L,L,520103,2576.0,2284.6666666666665,2319.0,2371.0,-7.958074534161491,True
synthetic_L_73005,73005,phase5b_holdout,L,L,520101,4748.0,5186.0,5263.0,4518.0,-4.844144903117102,True
synthetic_L_73005,73005,phase5b_holdout,L,L,520102,4748.0,5186.0,5263.0,4426.0,-6.781802864363943,True
synthetic_L_73005,73005,phase5b_holdout,L,L,520103,4748.0,5186.0,5263.0,6421.0,35.23588879528222,True
synthetic_L_73006,73006,phase5b_holdout,L,L,520101,2791.0,2645.6666666666665,2675.3333333333335,1561.0,-44.0702257255464,True
synthetic_L_73006,73006,phase5b_holdout,L,L,520102,2791.0,2645.6666666666665,2675.3333333333335,2594.0,-7.058402006449302,True
synthetic_L_73006,73006,phase5b_holdout,L,L,520103,2791.0,2645.6666666666665,2675.3333333333335,2456.0,-12.00286635614475,True
synthetic_L_73007,73007,phase5b_holdout,L,L,520101,2184.0,2457.3333333333335,2310.6666666666665,2844.0,30.21978021978022,True
synthetic_L_73007,73007,phase5b_holdout,L,L,520102,2184.0,2457.3333333333335,2310.6666666666665,2696.0,23.44322344322344,True
synthetic_L_73007,73007,phase5b_holdout,L,L,520103,2184.0,2457.3333333333335,2310.6666666666665,1996.0,-8.608058608058608,True
synthetic_L_73008,73008,phase5b_holdout,L,L,520101,3533.0,3531.6666666666665,3328.6666666666665,3228.0,-8.63288989527314,True
synthetic_L_73008,73008,phase5b_holdout,L,L,520102,3533.0,3531.6666666666665,3328.6666666666665,3234.0,-8.463062553071044,True
synthetic_L_73008,73008,phase5b_holdout,L,L,520103,3533.0,3531.6666666666665,3328.6666666666665,3278.0,-7.2176620435890175,True
synthetic_L_73009,73009,phase5b_holdout,L,L,520101,4234.0,3761.6666666666665,3760.3333333333335,3302.0,-22.012281530467643,True
synthetic_L_73009,73009,phase5b_holdout,L,L,520102,4234.0,3761.6666666666665,3760.3333333333335,3346.0,-20.973075106282476,True
synthetic_L_73009,73009,phase5b_holdout,L,L,520103,4234.0,3761.6666666666665,3760.3333333333335,3533.0,-16.556447803495512,True
synthetic_L_73010,73010,phase5b_holdout,L,L,520101,5292.0,4999.0,5173.666666666667,3054.0,-42.290249433106574,True
synthetic_L_73010,73010,phase5b_holdout,L,L,520102,5292.0,4999.0,5173.666666666667,4313.0,-18.49962207105064,True
synthetic_L_73010,73010,phase5b_holdout,L,L,520103,5292.0,4999.0,5173.666666666667,5418.0,2.380952380952381,True
synthetic_L_73011,73011,phase5b_holdout,L,L,520101,7852.0,8545.0,8062.666666666667,6070.0,-22.69485481406011,True
synthetic_L_73011,73011,phase5b_holdout,L,L,520102,7852.0,8545.0,8062.666666666667,6891.0,-12.238920020376973,True
synthetic_L_73011,73011,phase5b_holdout,L,L,520103,7852.0,8545.0,8062.666666666667,7798.0,-0.6877228731533367,True
synthetic_L_73012,73012,phase5b_holdout,L,L,520101,5556.0,5306.333333333333,5275.666666666667,4818.0,-13.282937365010799,True
synthetic_L_73012,73012,phase5b_holdout,L,L,520102,5556.0,5306.333333333333,5275.666666666667,4127.0,-25.719942404607632,True
synthetic_L_73012,73012,phase5b_holdout,L,L,520103,5556.0,5306.333333333333,5275.666666666667,5658.0,1.83585313174946,True
synthetic_L_73013,73013,phase5b_holdout,L,L,520101,3012.0,3333.6666666666665,3318.3333333333335,3774.0,25.298804780876495,True
synthetic_L_73013,73013,phase5b_holdout,L,L,520102,3012.0,3333.6666666666665,3318.3333333333335,3606.0,19.721115537848604,True
synthetic_L_73013,73013,phase5b_holdout,L,L,520103,3012.0,3333.6666666666665,3318.3333333333335,3170.0,5.245683930942895,True
synthetic_L_73014,73014,phase5b_holdout,L,L,520101,2107.0,2097.6666666666665,2041.6666666666667,1999.0,-5.125771238728049,True
synthetic_L_73014,73014,phase5b_holdout,L,L,520102,2107.0,2097.6666666666665,2041.6666666666667,1904.0,-9.634551495016611,True
synthetic_L_73014,73014,phase5b_holdout,L,L,520103,2107.0,2097.6666666666665,2041.6666666666667,2058.0,-2.3255813953488373,True
synthetic_L_73015,73015,phase5b_holdout,L,L,520101,5083.0,4402.666666666667,4143.333333333333,4386.0,-13.7123745819398,True
synthetic_L_73015,73015,phase5b_holdout,L,L,520102,5083.0,4402.666666666667,4143.333333333333,4613.0,-9.246507967735589,True
synthetic_L_73015,73015,phase5b_holdout,L,L,520103,5083.0,4402.666666666667,4143.333333333333,4095.0,-19.437340153452684,True
synthetic_L_73016,73016,phase5b_holdout,L,L,520101,4465.0,3890.6666666666665,4199.666666666667,2360.0,-47.1444568868981,True
synthetic_L_73016,73016,phase5b_holdout,L,L,520102,4465.0,3890.6666666666665,4199.666666666667,2507.0,-43.8521836506159,True
synthetic_L_73016,73016,phase5b_holdout,L,L,520103,4465.0,3890.6666666666665,4199.666666666667,3356.0,-24.837625979843224,True
synthetic_L_73017,73017,phase5b_holdout,L,L,520101,11528.0,11713.333333333334,11654.666666666666,11969.0,3.825468424705066,True
synthetic_L_73017,73017,phase5b_holdout,L,L,520102,11528.0,11713.333333333334,11654.666666666666,12305.0,6.740111034004164,True
synthetic_L_73017,73017,phase5b_holdout,L,L,520103,11528.0,11713.333333333334,11654.666666666666,8489.0,-26.361901457321306,True
synthetic_L_73018,73018,phase5b_holdout,L,L,520101,6076.0,5390.333333333333,6022.0,6089.0,0.2139565503620803,True
synthetic_L_73018,73018,phase5b_holdout,L,L,520102,6076.0,5390.333333333333,6022.0,6071.0,-0.08229098090849243,True
synthetic_L_73018,73018,phase5b_holdout,L,L,520103,6076.0,5390.333333333333,6022.0,5649.0,-7.027649769585254,True
synthetic_L_73019,73019,phase5b_holdout,L,L,520101,2704.0,2765.0,2708.3333333333335,2346.0,-13.2396449704142,True
synthetic_L_73019,73019,phase5b_holdout,L,L,520102,2704.0,2765.0,2708.3333333333335,2384.0,-11.834319526627219,True
synthetic_L_73019,73019,phase5b_holdout,L,L,520103,2704.0,2765.0,2708.3333333333335,2242.0,-17.085798816568047,True
synthetic_L_73020,73020,phase5b_holdout,L,L,520101,4497.0,4486.666666666667,4473.333333333333,3909.0,-13.075383589059372,True
synthetic_L_73020,73020,phase5b_holdout,L,L,520102,4497.0,4486.666666666667,4473.333333333333,4447.0,-1.1118523460084502,True
synthetic_L_73020,73020,phase5b_holdout,L,L,520103,4497.0,4486.666666666667,4473.333333333333,4411.0,-1.912386035134534,True
synthetic_M_74001,74001,phase5b_structural,high_reconfiguration,M,520101,1098.0,1111.3333333333333,1155.3333333333333,954.0,-13.114754098360656,True
synthetic_M_74001,74001,phase5b_structural,high_reconfiguration,M,520102,1098.0,1111.3333333333333,1155.3333333333333,1030.0,-6.193078324225866,True
synthetic_M_74001,74001,phase5b_structural,high_reconfiguration,M,520103,1098.0,1111.3333333333333,1155.3333333333333,1115.0,1.5482695810564664,True
