Method,Instance,Scale,CF,Best,Mean,Median,Std,Mean RPD (%),Median RPD (%),Rank,Attains BKS
LG_HGA,CB1_CORE_M_CF1_R02,M,CF1,3265,3437.40,3398.00,128.40,6.355,5.136,2.00,False
CSG-NI,CB1_CORE_M_CF1_R02,M,CF1,3232,3343.20,3341.00,100.68,3.441,3.373,1.00,True
GA,CB1_CORE_M_CF1_R03,M,CF1,3199,3316.00,3303.00,99.78,7.071,6.652,3.00,False
DCGA,CB1_CORE_M_CF1_R03,M,CF1,3488,3505.40,3506.00,16.30,13.187,13.206,5.00,False
DABC,CB1_CORE_M_CF1_R03,M,CF1,3326,3425.80,3437.00,70.74,10.617,10.978,4.00,False
LG_HGA,CB1_CORE_M_CF1_R03,M,CF1,3205,3278.40,3299.00,56.95,5.857,6.522,2.00,False
CSG-NI,CB1_CORE_M_CF1_R03,M,CF1,3097,3113.60,3101.00,19.91,0.536,0.129,1.00,True
GA,CB1_CORE_M_CF1_R04,M,CF1,2832,2922.80,2923.00,71.18,7.614,7.622,3.00,False
DCGA,CB1_CORE_M_CF1_R04,M,CF1,3249,3315.20,3316.00,53.61,22.062,22.091,5.00,False
DABC,CB1_CORE_M_CF1_R04,M,CF1,2911,3031.40,3012.00,99.51,11.613,10.898,4.00,False
LG_HGA,CB1_CORE_M_CF1_R04,M,CF1,2716,2874.60,2901.00,129.24,5.839,6.811,2.00,True
CSG-NI,CB1_CORE_M_CF1_R04,M,CF1,2718,2740.40,2721.00,31.28,0.898,0.184,1.00,False
GA,CB1_CORE_M_CF1_R05,M,CF1,2913,2972.40,2953.00,59.67,4.995,4.309,2.00,False
DCGA,CB1_CORE_M_CF1_R05,M,CF1,3135,3161.80,3160.00,21.70,11.685,11.621,5.00,False
DABC,CB1_CORE_M_CF1_R05,M,CF1,2981,3010.60,3016.00,22.10,6.344,6.535,4.00,False
LG_HGA,CB1_CORE_M_CF1_R05,M,CF1,2857,2964.20,2974.00,87.60,4.705,5.051,3.00,False
CSG-NI,CB1_CORE_M_CF1_R05,M,CF1,2831,2848.40,2844.00,16.74,0.615,0.459,1.00,True
