algorithm,instance_id,seed,scale,CF_level,cell_replicate,num_operations,budget_seconds,final_makespan,bks_v001_makespan,rpd_v001_percent,feasible,runtime_seconds,best_found_seconds,decoder_evaluations,iterations
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,CF1,C02,172,344.0,4586.0,3710.0,23.61185983827493,True,344.0134881440026,339.943094266986,28640,713
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,CF1,C02,172,344.0,3732.0,3710.0,0.5929919137466307,True,344.01355759901344,297.64701733901165,27498,684
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,CF1,C02,172,344.0,3811.0,3710.0,2.7223719676549867,True,344.07607817300595,304.7623371189984,27490,684
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,CF2,C01,188,376.0,4202.0,4166.0,0.8641382621219396,True,376.00832682001055,299.27522516599856,26002,647
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,CF2,C01,188,376.0,4235.0,4166.0,1.656265002400384,True,376.00776158299414,362.6357541040052,26896,669
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,CF2,C01,188,376.0,4166.0,4166.0,0.0,True,376.0129153410089,347.036429425003,25710,640
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,CF2,C02,194,388.0,4190.0,3957.0,5.888299216578216,True,388.00983089901274,386.8175766150234,26118,650
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,CF2,C02,194,388.0,4290.0,3957.0,8.415466262319939,True,388.01050025000586,379.97803439499694,26336,655
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,CF2,C02,194,388.0,4233.0,3957.0,6.974981046247157,True,388.0060028140142,386.03963350201957,26150,651
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,CF3,C01,183,366.0,4337.0,4145.0,4.632086851628468,True,366.01872745298897,341.79914897997514,26546,663
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,CF3,C01,183,366.0,4482.0,4145.0,8.13027744270205,True,366.00970697100274,332.98390203298186,26584,664
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,CF3,C01,183,366.0,4167.0,4145.0,0.5307599517490953,True,366.0046177050099,365.65321943798335,26694,667
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,CF3,C02,179,358.0,3329.0,3180.0,4.685534591194968,True,358.00664147999487,334.1116931519937,27112,677
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,CF3,C02,179,358.0,3180.0,3180.0,0.0,True,358.00683375800145,290.40162975000567,27232,680
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,CF3,C02,179,358.0,3222.0,3180.0,1.320754716981132,True,358.0247404590191,283.25212488800753,27044,676
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,CF1,C01,114,228.0,2920.0,2743.0,6.452788917243893,True,228.0118527779996,159.72501969098812,36948,923
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,CF1,C01,114,228.0,2812.0,2743.0,2.5154939846882973,True,228.0055974359857,204.42005489298026,35890,897
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,M,CF1,C01,114,228.0,2938.0,2743.0,7.109004739336493,True,228.01301077898825,216.08298704601475,36920,922
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,M,CF1,C02,117,234.0,2801.0,2772.0,1.046176046176046,True,234.00167085800786,45.40642557499814,35624,890
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,M,CF1,C02,117,234.0,2772.0,2772.0,0.0,True,234.00731873998302,89.29462658299599,34760,868
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,CF1,C02,117,234.0,2788.0,2772.0,0.5772005772005772,True,234.0039476469974,158.58333372700145,35470,886
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,122,244.0,2782.0,2782.0,0.0,True,244.00245275199995,238.2248720700154,34522,863
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,122,244.0,2909.0,2782.0,4.565061107117182,True,244.00351167397457,181.38195823098067,34776,869
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,122,244.0,2921.0,2782.0,4.996405463695183,True,244.01407763900352,170.59203331102617,34208,855
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,127,254.0,3746.0,3658.0,2.405686167304538,True,254.00617739799782,76.09996209401288,34816,870
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,127,254.0,3888.0,3658.0,6.287588846364134,True,254.01399952700012,16.285870741994586,34718,867
