instance_id,seed,scale,iterations,decoder_evaluations,critic_calls,refresh_count,guided_iterations,guided_iterations_per_critic_call,runtime_preparation_seconds,refresh_seconds,refresh_budget_share,decoder_evaluations_per_second,new_best_events,new_best_events_per_1000_evaluations,h1_to_final_improvement,improvement_per_second,improvement_per_1000_evaluations,best_found_seconds,budget_overshoot_seconds,refresh_p50_ms,refresh_p90_ms,refresh_p99_ms,refresh_max_ms
CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,4204,33630,211,211,4204,19.924170616113745,0.00042502698488533497,3.745411957788747,0.01642724542889801,147.49902767541653,8,0.23788284269997026,158.0,0.6929778879784659,4.6981861433244125,67.61117198498687,0.0015029929927550256,17.02588895568624,18.27673299703747,18.762213533045724,85.66108101513237
CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,4304,34430,216,216,4304,19.925925925925927,0.0006609709816984832,3.874535370792728,0.016993576187687404,151.00417120362596,13,0.3775776938716236,267.0,1.1710169535686359,7.754864943363346,225.41282403998775,0.006946599984075874,16.970700991805643,18.06319149909541,18.878751105512492,84.14016698952764
CB1_CAUR_M_CF1_RI2_TI2_R12,746103,M,4302,34414,216,216,4302,19.916666666666668,0.0005740650231018662,3.7461634997744113,0.016430541665677242,150.9354941855885,14,0.40681118149590284,362.0,1.5876866651706583,10.51897483582263,199.92986457701772,0.004686278000008315,16.979061503661796,18.07577849831432,18.439256565761752,18.79872300196439
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,M,4157,33253,208,208,4157,19.985576923076923,0.00045023096026852727,3.912731045798864,0.016721072845294293,142.1051609578393,24,0.7217393919345623,566.0,2.4187748805261795,17.021020659790093,223.31580512900837,0.0027608840027824044,17.45526201557368,18.612288509029895,73.61863782454787,88.08236295590177
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,M,4207,33652,211,211,4207,19.938388625592417,0.0006031410302966833,3.839304846187588,0.016407285667468324,143.80820245641794,18,0.5348864852014739,495.0,2.1153292587640227,14.709378343040532,46.47026008594548,0.00612360896775499,17.50154502224177,18.584111996460706,19.19356260332279,85.65503294812515
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,4290,34320,215,215,4290,19.953488372093023,0.0021505390177480876,3.8646067261579446,0.016515413359649338,146.66239173808435,30,0.8741258741258742,574.0,2.4529199550600356,16.724941724941726,182.27542227803497,0.006820653041359037,17.286992049776018,18.4340488165617,19.65454674442298,78.09026900213212
CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,4132,33056,207,207,4132,19.96135265700483,0.0004786609788425267,3.884367681806907,0.015919539679536503,135.47263992306466,9,0.2722652468538238,272.0,1.1147313062401256,8.228460793804453,192.91923657996813,0.004988894972484559,18.04393803467974,19.227538187988102,21.461164481006563,85.18855104921386
CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,4074,32591,204,204,4074,19.970588235294116,0.0006775730289518833,3.8179057386587374,0.015647154666634168,133.56843379906047,7,0.21478322236200179,211.0,0.8647460811758387,6.47417998834034,63.869742809969466,0.0022621589596383274,17.866308480734006,19.157308293506503,19.878153491881676,88.42380502028391
CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,4147,33177,208,208,4147,19.9375,0.0007014190196059644,3.8008013503276743,0.015577054714457682,135.96920061375437,11,0.3315549929167797,292.0,1.1967027331951736,8.80127799379088,170.82638151600258,0.0037879919982515275,17.815219529438764,19.08288100385107,19.527305734809488,19.695810973644257
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,4031,32248,202,202,4031,19.955445544554454,0.0004844320355914533,3.873192037222907,0.015248787548121681,126.95742831183038,16,0.4961548002976929,297.0,1.1692618521648976,9.209873480525925,175.45374694396742,0.006405366002582014,18.391807476291433,19.62007352267392,21.98361756745727,88.0081580253318
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,3963,31705,199,199,3963,19.91457286432161,0.0006290519959293306,3.809258154127747,0.014997079346959633,124.8192325070772,15,0.47311149660936763,312.0,1.2283110090587632,9.840719129474847,209.11798292503227,0.007330146036110818,18.449121969752014,19.734376785345376,20.210418470669538,78.64195998990908
