state_id,instance_id,data_origin,target_set_id,generator_order_index,all_origin_rules,all_origin_destroy_operators,all_origin_families,current_stored_first_origin_destroy_operator,origin_rule_count,origin_destroy_operator_count,cross_destroy_duplicate,stored_metadata_match
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_4abbc47f1ddc5683803c,3,"[""operator_high_reconfiguration""]","[""high_reconfiguration""]","[""ORIGINAL_OPERATOR""]",high_reconfiguration,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_05fa4a9786014f366a1e,4,"[""operator_w_bottleneck""]","[""w_bottleneck""]","[""ORIGINAL_OPERATOR""]",w_bottleneck,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_6fac41413a9083c2461f,5,"[""operator_f_bottleneck""]","[""f_bottleneck""]","[""ORIGINAL_OPERATOR""]",f_bottleneck,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_9d83bcb4fcaaf719835d,6,"[""operator_related""]","[""related""]","[""ORIGINAL_OPERATOR""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_646127686eed4ef77627,7,"[""related_variant_1""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_b6bec396808f26cdd743,8,"[""related_variant_2""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_ca198e5e081e7c5eb8a9,9,"[""related_variant_3""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_94085bf7c0f4702835ec,10,"[""related_variant_4""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_934199d9fa6f757321d3,11,"[""matched_random_1""]","[""random""]","[""MATCHED_RANDOM""]",random,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_099bcdf5ba4331df636f,12,"[""matched_random_2""]","[""random""]","[""MATCHED_RANDOM""]",random,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_4854f283ea39273836f0,13,"[""matched_random_3""]","[""random""]","[""MATCHED_RANDOM""]",random,1,1,False,True
