slice_dimension,slice_value,k,states,exact_best_recall,near_best_recall_epsilon_0_0025,near_best_recall_epsilon_0_005,near_best_recall_epsilon_0_010,oracle_shortlist_selected_lift,oracle_shortlist_regret,positive_opportunity_states,fallback_beating_candidate_present,mean_topk_origin_family_diversity,phase6n_phase6l_mean_topk_overlap,overlap_states
phase6n_data_origin,ORIGINAL_PHASE6J_CAUR,2,288,0.1597222222222222,0.1840277777777778,0.22569444444444445,0.3055555555555556,0.017885009951720224,0.023496918591843774,277,0.7725631768953068,1.6909722222222223,0.3385416666666667,288
phase6n_data_origin,ORIGINAL_PHASE6J_CAUR,3,288,0.2222222222222222,0.2569444444444444,0.2916666666666667,0.3993055555555556,0.022596903124704835,0.018785025418859163,277,0.8375451263537906,2.263888888888889,0.41898148148148145,288
phase6n_data_origin,ORIGINAL_PHASE6J_CAUR,4,288,0.3020833333333333,0.3506944444444444,0.3888888888888889,0.4930555555555556,0.027242168517730817,0.014139760025833179,277,0.8808664259927798,2.71875,0.4574652777777778,288
phase6n_data_origin,ORIGINAL_PHASE6J_CAUR,6,288,0.3784722222222222,0.4409722222222222,0.4756944444444444,0.5798611111111112,0.030873303027472283,0.010508625516091715,277,0.9386281588447654,3.3159722222222223,0.5266203703703703,288
phase6n_data_origin,ORIGINAL_PHASE6J_CAUR,8,288,0.4409722222222222,0.5034722222222222,0.5381944444444444,0.6458333333333334,0.0325909676722254,0.008790960871338599,277,0.9638989169675091,3.8090277777777777,0.5993923611111112,288
scale,L,1,288,0.09375,0.1076388888888889,0.1284722222222222,0.18055555555555555,0.008577416627101304,0.030938650346276235,280,0.6071428571428571,1.0,0.3854166666666667,96
scale,L,2,288,0.24305555555555555,0.2604166666666667,0.2916666666666667,0.3611111111111111,0.020408026984138343,0.019108039989239194,280,0.8,1.6423611111111112,0.40625,96
scale,L,3,288,0.3263888888888889,0.3541666666666667,0.3958333333333333,0.4826388888888889,0.025481832034295226,0.01403423493908231,280,0.8785714285714286,2.1458333333333335,0.46527777777777785,96
scale,L,4,288,0.3958333333333333,0.4305555555555556,0.46875,0.5590277777777778,0.028390021940428493,0.01112604503294904,280,0.9142857142857143,2.5625,0.4791666666666667,96
scale,L,6,288,0.4861111111111111,0.53125,0.5729166666666666,0.6701388888888888,0.03172010923424498,0.007795957739132553,280,0.9607142857142857,3.1979166666666665,0.5260416666666666,96
scale,L,8,288,0.5798611111111112,0.6111111111111112,0.65625,0.7430555555555556,0.033577004283091814,0.005939062690285726,280,0.9785714285714285,3.6840277777777777,0.6015625,96
scale,M,1,288,0.09027777777777778,0.1111111111111111,0.14930555555555555,0.2152777777777778,0.007786911553814563,0.03359024776757087,281,0.597864768683274,1.0,0.21875,96
scale,M,2,288,0.1527777777777778,0.1840277777777778,0.24305555555555555,0.3263888888888889,0.018406355290265672,0.022970804031119757,281,0.7473309608540926,1.5868055555555556,0.2760416666666667,96
scale,M,3,288,0.22569444444444445,0.2673611111111111,0.3125,0.4236111111111111,0.023286036684012468,0.01809112263737296,281,0.8185053380782918,2.138888888888889,0.3680555555555555,96
scale,M,4,288,0.2604166666666667,0.3263888888888889,0.3854166666666667,0.5104166666666666,0.027192392153251324,0.014184767168134108,281,0.8647686832740213,2.5729166666666665,0.4375,96
scale,M,6,288,0.3194444444444444,0.4027777777777778,0.46875,0.5902777777777778,0.030351958715663492,0.011025200605721937,281,0.9217081850533808,3.1944444444444446,0.5156249999999999,96
scale,M,8,288,0.4097222222222222,0.5,0.5659722222222222,0.6631944444444444,0.03238590000937677,0.008991259312008658,281,0.9430604982206405,3.7083333333333335,0.58203125,96
scale,S,1,288,0.1076388888888889,0.1284722222222222,0.1388888888888889,0.17708333333333334,0.0049970319707024905,0.03925637827694693,273,0.575091575091575,1.0,0.20833333333333334,96
scale,S,2,288,0.1701388888888889,0.19444444444444445,0.2048611111111111,0.2708333333333333,0.018328176003103887,0.02592523424454553,273,0.7545787545787546,1.6701388888888888,0.3333333333333333,96
scale,S,3,288,0.2361111111111111,0.2638888888888889,0.28125,0.3888888888888889,0.024946372082459218,0.019307038165190204,273,0.8498168498168498,2.1875,0.4236111111111111,96
scale,S,4,288,0.2986111111111111,0.3229166666666667,0.3506944444444444,0.4652777777777778,0.029298172287521313,0.014955237960128105,273,0.9047619047619048,2.6875,0.4557291666666667,96
