source,category,metric,value,observations
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family,fraction:RELATED_VARIANT,0.15435453076810104,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family,fraction:STRUCTURED_NEAR_NEIGHBOR,0.25322769953051644,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family,fraction:STRUCTURED_NEAR_NEIGHBOR,0.2534880305478044,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family_count,mean,1.0055017605633803,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family_count,mean,1.0049933911000146,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family_count,q10,1.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family_count,q10,1.0,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family_count,q50,1.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family_count,q50,1.0,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family_count,q90,1.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family_count,q90,1.0,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family_count,std,0.07396952882155944,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family_count,std,0.07048728357183998,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_rule_count,mean,1.0140845070422535,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_rule_count,mean,1.0151270377441621,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_rule_count,q10,1.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_rule_count,q10,1.0,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_rule_count,q50,1.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_rule_count,q50,1.0,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_rule_count,q90,1.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_rule_count,q90,1.0,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_rule_count,std,0.12912665251247024,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_rule_count,std,0.1357311943956979,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:matched_random_1,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:matched_random_1,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:matched_random_2,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:matched_random_2,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:matched_random_3,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:matched_random_3,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:near_high_F_delay,0.04218016431924883,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:near_high_F_delay,0.0420032310177706,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:near_high_W_delay,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:near_high_W_delay,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:near_low_slack,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:near_low_slack,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:near_precedence_neighbor,0.04203345070422535,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:near_precedence_neighbor,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:near_same_island_chain,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:near_same_island_chain,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:near_same_product,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:near_same_product,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:one_operation_swap,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:one_operation_swap,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_critical,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_critical,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_f_bottleneck,0.04225352112676056,13632
