state_id,instance_id,phase6n_data_origin,scale,CF_level,search_stage,search_progress,true_continuation_best_target_set_id,true_continuation_best_origin_family,phase6n_winner_target_set_id,phase6n_winner_origin_family,phase6n_rank_of_true_best,phase6n_selected_lift,phase6n_top1_regret,phase6n_predicted_top1_top2_margin,true_top1_top2_continuation_gap,phase6n_winner_in_true_near_optimal_0_0025,phase6n_winner_in_true_near_optimal_0_005,phase6n_winner_in_true_near_optimal_0_010,phase6n_pairwise_accuracy,phase6l_winner_target_set_id,phase6l_selected_lift,phase6l_top1_regret,phase6l_pairwise_accuracy,phase6n_selected_lift_minus_phase6l,phase6n_pairwise_improves_but_top_candidate_worsens,all_ordered_candidate_pairs,loss_directed_comparable_pairs,true_best_vs_rest_pairs,non_top_pairs,top_vs_rest_pairwise_loss_sum,non_top_pairwise_loss_sum,top_vs_rest_pairwise_loss_share,listnet_target_mass_best,listnet_target_mass_top3,listnet_target_mass_top6,state_utility_spread,crn_seed_winner_disagreement,crn_candidate_mean_abs_seed_delta,crn_candidate_max_abs_seed_delta,crn_candidate_sign_disagreement_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000372,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,80-100%,0.8501436689303076,ts_886fa86301f249e57a66,MATCHED_RANDOM,ts_e71c86a44fcdeabd8b41,STRUCTURED_NEAR_NEIGHBOR,20,-0.0005189413596263636,0.03425012973533991,0.03533029556274414,0.00025947067981318267,False,False,False,0.5219123505976095,,,,,,False,506,251,22,229,38.27859297649752,200.7652579502048,0.1601320963835829,0.13928255729379804,0.37171472478942175,0.5584311870236266,0.1235080435910742,True,0.008946097786602287,0.059937727036844836,0.13043478260869565
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000415,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,80-100%,0.9489363591861166,ts_f2acedb129b04ef5a52c,RELATED_VARIANT,ts_df250ea7870fc0ccbe68,STRUCTURED_NEAR_NEIGHBOR,14,0.017773741567202905,0.012714063310845874,0.013919562101364136,0.004929942916450443,False,False,False,0.5384615384615384,,,,,,False,552,273,23,250,22.36540987813807,206.0211686747707,0.09792786432481551,0.1317075776255308,0.3042341740338489,0.49389828816468295,0.09120394395433315,False,0.007989534682580868,0.051894135962636215,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000018,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,0-20%,0.04971278237204641,ts_afa58598809bbed1a023,LOCAL_PERTURBATION,ts_43a0d76c6c26ca074d55,RELATED_VARIANT,8,-0.013818819916648389,0.02347005922351393,0.07852059602737427,0.0006580390436499231,False,False,False,0.5760869565217391,,,,,,False,552,276,23,253,13.729442884469272,184.05439205575556,0.06941640548439486,0.10911929805462846,0.2941281877537717,0.4900539482820845,0.0651458653213424,True,0.04025919426774877,0.06448782627769248,0.75
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000075,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,0-20%,0.17928658811619835,ts_106684cd6751d0c35e32,ORIGINAL_OPERATOR,ts_70871a02ccece6ce1c33,RELATED_VARIANT,15,0.03391472868217054,0.014050387596899229,0.18783140182495117,0.004602713178294575,False,False,False,0.6594202898550725,,,,,,False,552,276,23,253,31.301077180629296,140.27103883554713,0.18243685458584727,0.17063711471684154,0.40314937537180057,0.5926816320043481,0.1030765503875969,False,0.020893895348837215,0.07364341085271317,0.2916666666666667
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000136,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,20-40%,0.319266611279048,ts_f907753d4f0399baae6b,STRUCTURED_NEAR_NEIGHBOR,ts_89aa904ea7fb54edf513,ORIGINAL_OPERATOR,12,-0.028848455829542735,0.05614077088819727,0.049546241760253906,0.00742159444577448,False,False,False,0.5398550724637681,,,,,,False,552,276,23,253,32.002085987902056,159.49215842188744,0.16711774333759588,0.1825578286155792,0.4012622451273787,0.5895802950450768,0.10988747905195116,True,0.008937834171255286,0.07062485037107973,0.08333333333333333
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000193,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,40-60%,0.4502161862091757,ts_1f8a70bc43051346aad5,ORIGINAL_OPERATOR,ts_31d81e53dde4461676d1,RELATED_VARIANT,13,0.01281112737920937,0.009394826744753539,0.07870793342590332,0.008784773060029283,False,False,True,0.5735294117647058,,,,,,False,552,272,23,249,20.866251439025564,112.98777345894594,0.1558881135993527,0.21072693250952113,0.4294746669676842,0.6208467438390866,0.05514885309907272,False,0.01302464616886286,0.032454856027330406,0.20833333333333334
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000250,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,40-60%,0.5789366266279018,ts_9163523fc3f010a4d1e6,ORIGINAL_OPERATOR,ts_e063a806a4932cf594ba,RELATED_VARIANT,2,-0.0016447368421052635,0.017079959514170042,0.21337467432022095,0.003289473684210526,False,False,False,0.6556776556776557,,,,,,False,552,273,23,250,11.227776044845282,110.20243330552147,0.0924627908072644,0.11858813322081618,0.31056877929340976,0.5004617433358084,0.06907894736842105,False,0.0006642206477732794,0.015941295546558706,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000313,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,60-80%,0.7204944021161578,ts_9612c57da2f30243429b,RELATED_VARIANT,ts_a0e657fdc8f33b3bf4c2,STRUCTURED_NEAR_NEIGHBOR,11,-0.0033316880552813426,0.03368706811451135,0.048686087131500244,0.005429417571569596,False,False,False,0.5873015873015873,,,,,,False,506,252,22,230,19.47176335214722,124.79592550491752,0.13496967689999628,0.23266821658583142,0.4710269717663015,0.6566600097637512,0.06379565646594273,False,0.006159062620713336,0.059970384995064165,0.13043478260869565
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000370,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,80-100%,0.8508346123022885,ts_f5c129eaf677121f6d4a,RELATED_VARIANT,ts_6a16a4eae54e29ebbf4c,ORIGINAL_OPERATOR,19,-0.01235839340885685,0.03527291452111225,0.32118597626686096,0.008753861997940267,False,False,False,0.5289855072463768,,,,,,False,552,276,23,253,26.861916404023024,167.96153986465183,0.13787824586675337,0.1481779542958177,0.3191460945638845,0.4897723776178419,0.08650875386199794,False,0.0012658771026433232,0.022142121524201856,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721203__it0000413,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,80-100%,0.9492307073953778,ts_101c40a398977405c7a1,MATCHED_RANDOM,ts_06601b1d91c463047d66,RELATED_VARIANT,13,0.023202447730749618,0.03799082100968894,0.3027821183204651,0.0005099439061703251,False,False,False,0.5927272727272728,,,,,,False,552,275,23,252,25.191485269560356,145.46103561362597,0.14761859443497016,0.15769275882751616,0.38855389516194444,0.595114762260269,0.0822284548699643,False,0.0040476797552269255,0.02039775624681285,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721204__it0000018,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,0-20%,0.04922187437207254,ts_828db95a3cc98d42eb91,STRUCTURED_NEAR_NEIGHBOR,ts_828db95a3cc98d42eb91,STRUCTURED_NEAR_NEIGHBOR,1,0.04905578467549381,0.0,0.04310813546180725,0.018124593010635986,True,True,True,0.7054545454545454,,,,,,False,552,275,23,252,17.506672727318474,143.44505407914139,0.10876971048822469,0.2641287399925561,0.4470786363928827,0.6503067616420738,0.07683959192533102,False,0.002631864553939657,0.020837855437377904,0.08333333333333333
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721204__it0000075,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,0-20%,0.17901085581387485,ts_8c8f6cbe11c973892646,STRUCTURED_NEAR_NEIGHBOR,ts_8833e965dd4199419930,RELATED_VARIANT,2,0.021723730814639908,0.02361275088547815,0.20549875497817993,0.01558441558441558,False,False,False,0.5579710144927537,,,,,,False,552,276,23,253,16.862008807924887,136.04897309358967,0.11027336688469645,0.23280370479378593,0.4076199550768813,0.6053296838434072,0.0754427390791027,True,0.015771349862258952,0.048406139315230225,0.4166666666666667
