arm,instance_id,scale,CF_level,seed,time_limit_seconds,stored_makespan,replay_feasible,replay_makespan,replayed_action_count,violation_count,source_path,source_sha256,copied_raw_path,copied_raw_sha256
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530103,386.0,4612.0,True,4612.0,193,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530103.json,b189482397f082e67b899fd37a5a31c9474fe706d4e910a1c2d093150ff1e618,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530103.json,b189482397f082e67b899fd37a5a31c9474fe706d4e910a1c2d093150ff1e618
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530104,386.0,4910.0,True,4910.0,193,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530104.json,ead1173690ddb3c4994b1f45259b3daed105abd98cc31efe26b884446bc13339,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530104.json,ead1173690ddb3c4994b1f45259b3daed105abd98cc31efe26b884446bc13339
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530105,386.0,4704.0,True,4704.0,193,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530105.json,8d6caa6e77d75feac457515df44d1e2cbff4adb87e3821a535d6b00b0ab3f4e6,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530105.json,8d6caa6e77d75feac457515df44d1e2cbff4adb87e3821a535d6b00b0ab3f4e6
CSG-NI Full,CB1_CORE_L_CF3_R02,L,CF3,530101,334.0,3712.0,True,3712.0,167,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R02/seed_530101.json,d9cf89235a114298b01da4549414dcec843be693093ae1630b758a68a61f0196,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530101.json,d9cf89235a114298b01da4549414dcec843be693093ae1630b758a68a61f0196
CSG-NI Full,CB1_CORE_L_CF3_R02,L,CF3,530102,334.0,3618.0,True,3618.0,167,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R02/seed_530102.json,91fc1a7ba403557d9206df46981b1a68abc5177f27cc2dafd2b0f8e06b8f5f33,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530102.json,91fc1a7ba403557d9206df46981b1a68abc5177f27cc2dafd2b0f8e06b8f5f33
CSG-NI Full,CB1_CORE_L_CF3_R02,L,CF3,530103,334.0,3693.0,True,3693.0,167,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R02/seed_530103.json,200b1d95d90067da6547b88f73a0a2c0d50a6019f33f85d85d40dd2dc7b6a9ec,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530103.json,200b1d95d90067da6547b88f73a0a2c0d50a6019f33f85d85d40dd2dc7b6a9ec
CSG-NI Full,CB1_CORE_L_CF3_R02,L,CF3,530104,334.0,3686.0,True,3686.0,167,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R02/seed_530104.json,cc48f2f5ced9b504d128728ff992baa93232768f8ab6bc86ab3a27739fe56583,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530104.json,cc48f2f5ced9b504d128728ff992baa93232768f8ab6bc86ab3a27739fe56583
CSG-NI Full,CB1_CORE_L_CF3_R02,L,CF3,530105,334.0,3588.0,True,3588.0,167,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R02/seed_530105.json,30aae9fe601b0a1a42b8736efc901dfba8a5fd68ac439faf55a4478e653717aa,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530105.json,30aae9fe601b0a1a42b8736efc901dfba8a5fd68ac439faf55a4478e653717aa
CSG-NI Full,CB1_CORE_M_CF1_R01,M,CF1,530101,228.0,2592.0,True,2592.0,114,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R01/seed_530101.json,dec9eae8d48484cbf2ea81e979dc85a2f5bb5a1bb730e05fff143d69220f91b9,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530101.json,dec9eae8d48484cbf2ea81e979dc85a2f5bb5a1bb730e05fff143d69220f91b9
CSG-NI Full,CB1_CORE_M_CF1_R01,M,CF1,530102,228.0,2637.0,True,2637.0,114,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R01/seed_530102.json,3d876b9a936c2625afd8fed4d4f414463d850b1e12a03b2c12a74fe00b6ff9f3,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530102.json,3d876b9a936c2625afd8fed4d4f414463d850b1e12a03b2c12a74fe00b6ff9f3
