instance_id,scale,CF_level,state_id,target_set_id,origin_family,is_fallback,immediate_utility,ensemble_immediate_utility,continuation_advantage_mean,continuation_advantage_std,beats_fallback,continuation_positive,realized_immediate_negative,realized_immediate_below_old_floor,old_predicted_immediate_gate_blocked
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_4854f283ea39273836f0,MATCHED_RANDOM,False,-0.004698318496538081,0.016858773,0.011498516320474777,0.007789317507418398,1.0,True,True,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_4abbc47f1ddc5683803c,ORIGINAL_OPERATOR,False,-0.031899109792284865,-0.038296636,-0.007047477744807122,0.0008654797230464883,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_4ad71ea71e9e60f16cd3,STRUCTURED_NEAR_NEIGHBOR,False,-0.028437190900098913,0.014979935,-0.012240356083086055,0.007789317507418398,0.0,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_5283765c7b4dab2ebbce,ORIGINAL_OPERATOR,False,-0.033630069238377844,-0.082615085,-0.017433234421364983,0.007789317507418398,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_6150ab9c2ff9f709428c,STRUCTURED_NEAR_NEIGHBOR,False,-0.02695351137487636,-0.008473531,-0.0008654797230464887,0.0021018793273986152,0.5,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_646127686eed4ef77627,RELATED_VARIANT,False,-0.0071711177052423344,-0.02904146,0.009025717111770524,0.007789317507418398,1.0,True,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_6f73fff5abefe2b4ba85,ORIGINAL_OPERATOR,False,-0.0056874381800197825,-0.275902,0.010509396636993075,0.007789317507418397,1.0,True,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_6fac41413a9083c2461f,ORIGINAL_OPERATOR,False,-0.024480712166172106,0.008807898,0.0087784371909001,0.024851632047477742,0.5,True,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_8ac4d332a7e5bf5d828b,LOCAL_PERTURBATION,False,-0.010138476755687438,0.015278286,0.00605835806132542,0.007789317507418398,0.5,True,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_934199d9fa6f757321d3,MATCHED_RANDOM,False,-0.03016815034619189,-0.023241067,-0.01397131552917903,0.007789317507418397,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_94085bf7c0f4702835ec,RELATED_VARIANT,False,-0.05019782393669634,0.02340044,-0.02188427299703264,0.01669139465875371,0.0,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_9d83bcb4fcaaf719835d,ORIGINAL_OPERATOR,True,-0.023986152324431256,-0.019197013,0.0,0.0,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_9ee7b24ddf3a5502310d,STRUCTURED_NEAR_NEIGHBOR,False,-0.025717111770524232,-0.014729563,-0.009520276953511373,0.007789317507418397,0.0,False,True,True,True
