instance,split,group,level,seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_downstream_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_M_74008,phase5b_structural,high_reconfiguration,M,74008,1642.0,1492.6666666666667,1541.0,1577.0,-3.958587088915956,True
synthetic_M_74009,phase5b_structural,high_reconfiguration,M,74009,591.0,637.0,729.6666666666666,770.0,30.287648054145517,True
synthetic_M_74010,phase5b_structural,high_reconfiguration,M,74010,771.0,876.0,829.0,780.0,1.1673151750972763,True
synthetic_M_74001,phase5b_structural,high_travel,M,74001,1976.0,1868.6666666666667,1994.3333333333333,2014.0,1.9230769230769231,True
synthetic_M_74002,phase5b_structural,high_travel,M,74002,2885.0,2653.0,2526.0,2759.0,-4.3674176776429805,True
synthetic_M_74003,phase5b_structural,high_travel,M,74003,1043.0,789.0,806.3333333333334,768.0,-26.366251198465964,True
synthetic_M_74004,phase5b_structural,high_travel,M,74004,2844.0,2113.6666666666665,2149.3333333333335,2210.0,-22.29254571026723,True
synthetic_M_74005,phase5b_structural,high_travel,M,74005,3116.0,3127.0,3023.0,3127.0,0.35301668806161746,True
synthetic_M_74006,phase5b_structural,high_travel,M,74006,1698.0,1693.3333333333333,1712.3333333333333,1742.0,2.5912838633686692,True
synthetic_M_74007,phase5b_structural,high_travel,M,74007,1856.0,1758.6666666666667,1717.6666666666667,1805.0,-2.747844827586207,True
synthetic_M_74008,phase5b_structural,high_travel,M,74008,2652.0,2526.3333333333335,2666.3333333333335,2743.0,3.4313725490196076,True
synthetic_M_74009,phase5b_structural,high_travel,M,74009,1218.0,1049.3333333333333,1214.3333333333333,1221.0,0.24630541871921183,True
synthetic_M_74010,phase5b_structural,high_travel,M,74010,1342.0,1496.3333333333333,1307.3333333333333,1364.0,1.639344262295082,True
synthetic_M_74001,phase5b_structural,fleet_scarcity,M,74001,1764.0,1777.6666666666667,1765.3333333333333,1774.0,0.5668934240362812,True
synthetic_M_74002,phase5b_structural,fleet_scarcity,M,74002,2647.0,2664.0,2651.0,2680.0,1.2466943709860219,True
synthetic_M_74003,phase5b_structural,fleet_scarcity,M,74003,1132.0,1096.3333333333333,1137.0,1149.0,1.5017667844522968,True
synthetic_M_74004,phase5b_structural,fleet_scarcity,M,74004,2311.0,2270.3333333333335,2266.6666666666665,2343.0,1.3846819558632626,True
synthetic_M_74005,phase5b_structural,fleet_scarcity,M,74005,1730.0,1698.6666666666667,1703.6666666666667,1720.0,-0.5780346820809249,True
synthetic_M_74006,phase5b_structural,fleet_scarcity,M,74006,1182.0,1167.6666666666667,1178.3333333333333,1181.0,-0.08460236886632826,True
synthetic_M_74007,phase5b_structural,fleet_scarcity,M,74007,1419.0,1430.0,1446.0,1437.0,1.2684989429175475,True
synthetic_M_74008,phase5b_structural,fleet_scarcity,M,74008,2885.0,2836.0,2873.6666666666665,2920.0,1.2131715771230502,True
synthetic_M_74009,phase5b_structural,fleet_scarcity,M,74009,736.0,788.0,766.6666666666666,764.0,3.8043478260869565,True
synthetic_M_74010,phase5b_structural,fleet_scarcity,M,74010,1089.0,1108.6666666666667,1104.6666666666667,1110.0,1.9283746556473829,True
