destroy_operator,repair_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
random,greedy,10043,0.027930350721550284,523,0.05207607288658767,202,0.02011351189883501,15,0.0014935776162501246,-246.4620133426267,-233.0,57.866336633663366,0.017675264487563118,0.11850745620472139,7.999203425271333,16.240665139898436,0.15,0.017181374278585,0.0936645324509767,23.159138210183936,122.33207847400175,163.9002243535725,0.0,360.0,0.006218153553847482
random,reconfiguration_aware,10138,0.028194552983677863,528,0.052081278358650625,224,0.022095087788518444,16,0.001578220556322746,-252.72302229236536,-229.0,51.54017857142857,0.016465744913778706,0.1182355597563593,7.9982245018741365,16.175971592029985,0.15,0.017553115484230816,0.0931274875810612,23.089079087679455,122.4012700999972,165.6931499343919,0.0,277.0,0.004784523706710424
random,regret2,10042,0.027927569645106835,515,0.05128460466042621,201,0.02001593308105955,14,0.0013941445927106153,-247.0578570005975,-232.0,60.791044776119406,0.017897522841748503,0.12056055327723851,7.998506273650667,16.411372236606255,0.14999999999999997,0.017203879993319706,0.09247790388648858,23.196746447671817,123.03101210229813,166.37424780618431,0.0,321.0,0.005544520252180672
random,regret3,10020,0.027866385963350976,496,0.04950099800399202,203,0.020259481037924153,9,0.0008982035928143712,-249.8694610778443,-235.0,60.37931034482759,0.018086172539411697,0.11979690864011946,7.997604790419162,16.43443113772455,0.14999999999999997,0.016827101382389225,0.09215130674800652,23.297430069494464,122.97320272452276,166.43543552793176,0.0,224.0,0.0038690733223939893
random,transport_aware,12402,0.03449091005164459,1880,0.15158845347524594,1231,0.09925818416384453,246,0.01983551040154814,-152.89187227866472,-149.0,84.32900081234769,0.02034271009319859,0.13445662407506892,7.997581035316885,17.294710530559588,0.14999999999999997,0.015893005763784298,0.09051598409756247,23.44298401892137,127.44760212547456,175.24128813239173,0.0,10841.0,0.18725278521461267
related,greedy,10499,0.029198521579762663,670,0.0638156014858558,307,0.029240880083817505,34,0.0032384036574911895,-200.5207162586913,-192.0,63.11726384364821,0.01783601470806052,0.1198206385180489,7.9988570340032386,16.453471759215162,0.14999999999999997,0.017866650452931555,0.09399361434900085,23.223608410455853,124.60141450888719,167.2738384133852,0.0,934.0,0.01613265394248208
related,reconfiguration_aware,10591,0.029454380612559897,794,0.07496931356812388,369,0.03484090265319611,40,0.0037767916155226136,-199.47597016334623,-187.0,54.20867208672087,0.016268016680842313,0.12091608887196782,7.996412047965253,16.564819186101406,0.14999999999999997,0.017647646206052997,0.09412959755616856,23.30534842796378,125.41178051695128,168.35239279870646,0.0,1119.0,0.019328093963209256
related,regret2,10582,0.029429350924568862,785,0.07418257418257418,342,0.03231903231903232,24,0.002268002268002268,-200.33849933849933,-192.5,59.505847953216374,0.016161511427718205,0.12244304867302885,7.9986769986769986,16.65290115290115,0.14999999999999997,0.019494415744395213,0.09596852815158077,23.45414105028735,126.45149599347033,170.87368903106085,0.0,626.0,0.010812678124190345
related,regret3,10554,0.029351480784152315,735,0.06964184195565662,340,0.032215273829827556,24,0.0022740193291642978,-200.65491756679933,-194.0,58.955882352941174,0.01635204973692054,0.11824402182016262,7.996304718590108,16.330490809171877,0.14999999999999997,0.017664078376373727,0.09404657508493924,23.305925354055926,123.49270244851635,165.90118284360582,0.0,508.0,0.008774505570429225
related,transport_aware,13569,0.03773642626114864,2678,0.19736163313435034,1954,0.14400471663350284,426,0.03139509175326111,-122.46517797921733,-119.0,88.85158648925281,0.021198602792881497,0.13709675158928467,7.998747144225809,17.592305991598497,0.14999999999999997,0.016726034724687748,0.09302463833676625,23.607437419262418,131.57263099455733,180.11187907974175,0.0,17137.0,0.29600138181190083
w_bottleneck,greedy,9692,0.026954192889899965,352,0.03631861328931077,147,0.01516714816343376,7,0.0007222451506397028,-292.9792612463888,-251.0,67.4421768707483,0.019821290580549926,0.11486777829581149,7.997833264548081,16.004952538175814,0.14999999999999997,0.012576759160639503,0.08180786881907326,23.63717353829178,156.72655239282085,191.272968074629,0.0,103.0,0.0017790828223508074
w_bottleneck,reconfiguration_aware,9684,0.02693194427835238,362,0.03738124741842214,179,0.018484097480380008,18,0.0018587360594795538,-299.7804626187526,-252.0,55.49162011173184,0.01982232557230448,0.11463980514993834,7.998554316398183,16.029533250722842,0.14999999999999997,0.01213338557763752,0.08049256120192348,23.501489128665416,156.1092806885012,189.99122838608983,0.0,510.0,0.0088090508679506
