search_stage,bottleneck_type,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,critical,2317,0.0064437541194694815,8,0.0034527406128614588,4,0.0017263703064307294,1,0.00043159257660768235,-173.35692706085456,-167.0,28.0,0.007217185173139162,0.06958230159818637,8.0,11.824341821320674,0.14999999999999997,0.2415310513915808,0.4859504707171914,12.07288587128845,52.776844569430274,75.70168855321863,0.0,82.0,0.001416357198376371
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,f_bottleneck,2207,0.00613783571069018,0,0.0,0,0.0,0,0.0,-254.46307204349796,-236.0,,,0.07416035737879258,8.0,12.267784322609877,0.14999999999999997,0.01736272621158157,0.08284235299831608,18.336074415565044,92.25485947823032,113.24916793524773,0.0,0.0,0.0
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,high_reconfiguration,2191,0.006093338487595009,4,0.0018256503879507074,2,0.0009128251939753537,2,0.0009128251939753537,-225.46188954815153,-214.0,35.0,0.011304969832680227,0.07228115506845986,8.0,12.06891830214514,0.15,0.01973732990255375,0.10587663651381447,46.785297926827525,96.87392873753141,130.57051934954103,0.0,60.0,0.001036358925641247
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,overloaded_island,2217,0.006165646475124662,10,0.0045105999097880016,9,0.0040595399188092015,6,0.0027063599458728013,-194.11456923770862,-186.0,20.444444444444443,0.009198618840369287,0.07182354842805518,8.0,12.016238159675236,0.14999999999999997,0.03871417161065825,0.02820707523625988,13.91523744004101,71.29247707210746,107.19721523116904,0.0,122.0,0.0021072631488038692
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,random,2235,0.0062157058511067296,11,0.004921700223713647,10,0.0044742729306487695,9,0.004026845637583893,-206.2993288590604,-198.0,15.7,0.006362387294955229,0.07116858822147483,8.0,11.959284116331096,0.15,0.03743844657345431,0.09873584923691096,19.72742658696097,87.85049099152454,114.97470202346972,0.0,139.0,0.0024008981777355557
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,related,2206,0.0061350546342467316,20,0.009066183136899365,16,0.007252946509519492,9,0.004079782411604714,-171.95376246600182,-167.0,20.0,0.007575603394763054,0.07826529835539647,8.0,12.514959202175884,0.15,0.04170558225545408,0.10976697117288978,19.312796666732478,94.18995185217155,124.52376941226323,0.0,275.0,0.004749978409189049
40-60%,CROSS_RESOURCE_SYNCHRONIZATION,w_bottleneck,2173,0.006043279111612941,2,0.0009203865623561896,2,0.0009203865623561896,2,0.0009203865623561896,-240.5945697192821,-222.0,26.5,0.008315263703915141,0.07252782845512784,8.0,12.124712379199263,0.15,0.014255680260321446,0.09916842046207933,18.945151471779205,131.14005239983607,159.71484674601442,0.0,53.0,0.000915450384316435
40-60%,F_LOGISTICS,critical,358,0.000995625366754456,1,0.002793296089385475,1,0.002793296089385475,1,0.002793296089385475,-238.09217877094972,-200.5,4.0,0.0022896393817973667,0.08341988961452779,8.0,13.480446927374302,0.14999999999999997,0.0868795350927888,0.5229927866606734,15.839264003938442,54.03788287420536,110.31756512339733,0.0,4.0,6.90905950427498e-05
40-60%,F_LOGISTICS,f_bottleneck,337,0.0009372227614420438,0,0.0,0,0.0,0,0.0,-275.9050445103858,-239.0,,,0.0874392118931827,8.0,14.243323442136498,0.14999999999999997,0.010591823277283217,0.12166996373227829,20.098161885921527,86.83658094296075,122.33491592482693,0.0,0.0,0.0
40-60%,F_LOGISTICS,high_reconfiguration,325,0.0009038498441206654,0,0.0,0,0.0,0,0.0,-247.16923076923078,-212.0,,,0.0825398065938421,8.0,13.575384615384616,0.15,0.02488461538461538,0.15523415856174477,49.64231844974949,135.20033318597115,158.6418838785735,0.0,0.0,0.0
