CF_level,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
CF2,overloaded_island,17025,0.04734782644970562,1071,0.06290748898678414,540,0.03171806167400881,79,0.004640234948604992,-262.95565345080763,-233.0,67.25925925925925,0.018368639438829,0.12202225051577129,7.998296622613803,16.100440528634362,0.14999999999999997,0.010817395768364794,0.042627167509818625,25.563936175316005,114.94968634271802,172.7305233046098,0.0,2434.0,0.04204162708351326
CF2,random,17125,0.04762593409405044,1216,0.07100729927007299,636,0.037138686131386864,85,0.004963503649635037,-237.22055474452554,-222.0,78.84591194968553,0.019427240486879396,0.12529245773816142,7.997897810218978,16.351357664233575,0.14999999999999997,0.016354002223248117,0.09433755998104905,24.891072173197884,123.60877659286676,162.5829181394161,0.0,3518.0,0.06076517834009845
CF2,related,18515,0.05149163035044344,1916,0.10348366189576019,1137,0.06140966783688901,216,0.011666216581150418,-184.96089657034835,-181.0,77.78715919085312,0.019733466249563857,0.12759456411288128,7.9985417229273565,16.608911693221714,0.14999999999999997,0.01714377748350143,0.09219795040656316,25.15492910250349,125.89988520063318,164.67230419684438,0.0,7721.0,0.13336212108126783
CF2,w_bottleneck,16259,0.0452175218940243,815,0.05012608401500707,416,0.025585829386801158,44,0.002706193492834738,-277.2291653853251,-240.0,76.75721153846153,0.021872367436072796,0.12186688631244072,7.998708407651147,16.04225352112676,0.14999999999999997,0.014350745112168571,0.07118682604532299,26.128375648593046,156.5062456051488,187.11669833684664,0.0,1224.0,0.02114172208308144
CF3,critical,16908,0.04702244050582218,1177,0.0696120179796546,589,0.034835580790158506,34,0.0020108824225218832,-221.7397681570854,-206.0,71.63497453310696,0.019734132882687834,0.12373188067571626,7.998166548379466,16.586290513366453,0.14999999999999997,0.10669998761137575,0.46147365765842846,20.033067484651095,81.99837185793234,112.6036604382314,0.0,1076.0,0.0185853700664997
CF3,f_bottleneck,15850,0.04408006162865399,555,0.03501577287066246,260,0.016403785488958992,7,0.0004416403785488959,-307.57482649842274,-274.0,81.8423076923077,0.02195005997613051,0.12145575918283891,7.998801261829653,16.458675078864353,0.14999999999999997,0.012280785613591753,0.07534019337113225,27.107481689639073,127.21811115757315,172.40619458148177,0.0,119.0,0.0020554452025218065
CF3,high_reconfiguration,16088,0.04474195782219466,882,0.05482347090999503,428,0.02660367976131278,17,0.0010566882148184983,-259.76777722526106,-232.0,83.49065420560747,0.022029020535946974,0.12367043312444041,7.998446046742914,16.592242665340628,0.14999999999999997,0.01904515037354041,0.09358799066480859,52.66476812878841,132.1134007162581,165.24631560176368,0.0,611.0,0.010553588392780033
CF3,overloaded_island,16840,0.046833327307667705,899,0.05338479809976247,460,0.027315914489311165,46,0.0027315914489311165,-259.88034441805223,-222.0,56.108695652173914,0.01642594509504315,0.12062651097523795,7.9989311163895485,16.42476247030879,0.14999999999999997,0.016079121487131812,0.032102201486319,24.438041687405885,97.21688548085899,147.8596188255503,0.0,1248.0,0.02155626565333794
CF3,random,16946,0.04712812141067321,1003,0.05918800896966836,505,0.029800542900979582,36,0.0021243951374955742,-249.97179275345215,-229.0,69.93069306930693,0.02033473173427446,0.12328716249156194,7.998642747551044,16.506314174436444,0.14999999999999997,0.016369114195664176,0.09330728323513376,26.675191833351324,125.14343097894194,161.8949300976855,0.0,1135.0,0.019604456343380258
CF3,related,17787,0.04946700669961315,1585,0.08911002417495924,934,0.052510260302468095,77,0.004329004329004329,-196.36043177601618,-182.0,82.8576017130621,0.020832394411609563,0.12619370613880926,7.997863608253219,16.856693090459324,0.14999999999999997,0.01769959166634633,0.09780244179035044,26.73948188620007,129.5016537113536,167.60235453628664,0.0,2244.0,0.038759823818982644
CF3,w_bottleneck,16198,0.04504787623097396,683,0.042165699469070256,357,0.022039757994814176,16,0.0009877762686751452,-310.5102481787875,-252.0,71.95798319327731,0.022173227716174932,0.11885791858877906,7.997592295345104,16.316397086060007,0.14999999999999997,0.013413242671607678,0.07768611075300258,27.09003669349448,153.59332150773358,176.69694570633294,0.0,595.0,0.010277226012609034
