bottleneck_type,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
F_LOGISTICS,random,1677,0.004663865195662633,70,0.04174120453190221,30,0.017889087656529516,14,0.008348240906380441,-213.5551580202743,-193.0,79.9,0.020636124179831305,0.08210655345915045,7.998211091234347,13.254025044722718,0.14999999999999997,0.013843548551462932,0.10501228169386533,20.545694598688602,94.99909277106728,144.34803955294777,0.0,1155.0,0.019949909318594007
F_LOGISTICS,related,1730,0.004811262247165388,113,0.0653179190751445,53,0.030635838150289016,22,0.012716763005780347,-182.13005780346822,-171.0,66.98113207547169,0.016079355030843883,0.08516006617803379,8.0,13.508092485549133,0.14999999999999997,0.013830768261874328,0.10468704609587914,20.612388833649796,97.91175053152753,147.6866001441524,0.0,1316.0,0.022730805769064687
F_LOGISTICS,w_bottleneck,1669,0.0046416165841150474,48,0.028759736369083282,18,0.01078490113840623,4,0.002396644697423607,-223.80047932893947,-213.0,80.05555555555556,0.020938662784018423,0.08654949169682283,8.0,13.598562013181546,0.14999999999999994,0.009549575088463061,0.12349278293949481,22.877478062451885,128.96833734445403,136.83351982750503,0.0,303.0,0.0052336125744882975
RECONFIGURATION,critical,13253,0.03685760610501901,808,0.0609673281521165,401,0.030257300233909303,39,0.0029427299479363165,-227.96121632837847,-221.0,62.16708229426434,0.018375540341904598,0.1377755133997599,7.9969063608239646,18.052969139062853,0.14999999999999997,0.09489492904771672,0.408556867175591,19.730046426431894,81.89401910922768,133.10059672658517,0.0,878.0,0.015165385611883582
RECONFIGURATION,f_bottleneck,12272,0.034129370113996325,336,0.027379400260756193,146,0.011897001303780965,7,0.0005704041720990873,-349.523631029987,-330.0,68.0,0.02115295130382503,0.13542327082195124,7.996822033898305,17.96243481095176,0.14999999999999997,0.014843743725406687,0.07612652616290815,24.77989794042489,134.91290369723168,196.952874993342,0.0,211.0,0.0036445288885050523
RECONFIGURATION,high_reconfiguration,13174,0.0366379010659866,842,0.0639137695460756,425,0.03226051313192652,64,0.004858053742219523,-253.08987399423106,-245.0,69.99058823529411,0.019052516304150443,0.14009674540276448,7.999089114923334,18.254061029300136,0.14999999999999997,0.01647628696733108,0.07898689609146174,51.007339617770356,137.67876337429288,186.21619977085214,0.0,2273.0,0.03926073063304258
RECONFIGURATION,overloaded_island,13259,0.036874292563679696,802,0.060487216230484954,416,0.031374915151972244,69,0.0052040123689569345,-253.20687834678333,-229.0,61.73317307692308,0.017340808722452826,0.1350402176864745,7.9984161701485785,17.936571385474018,0.14999999999999997,0.02068131894064177,0.033461043776828105,23.533676819113403,107.77939160155763,169.7544111524965,0.0,2062.0,0.03561620174453752
RECONFIGURATION,random,13697,0.03809240404591001,919,0.06709498430313207,473,0.034533109440023364,78,0.00569467766664233,-240.45739943053223,-229.0,60.48202959830867,0.017026303560074504,0.14018387583733932,7.997663721982916,18.254216251733958,0.14999999999999997,0.014562115834886435,0.08770586481957411,23.850951971895796,131.22523053016204,184.48881806347455,0.0,2485.0,0.042922532170308315
RECONFIGURATION,related,14331,0.03985560651105617,1292,0.09015421115065243,733,0.05114786127974321,149,0.010397041378829111,-190.98499755774196,-185.0,67.85538881309687,0.01764285136942931,0.14045085173483962,7.99637150233759,18.37875933291466,0.14999999999999997,0.015056562755318026,0.09055318192859939,24.105455810390488,132.5209288162915,185.83386557682363,0.0,5164.0,0.08919595820019
RECONFIGURATION,w_bottleneck,12980,0.03609837223595765,647,0.04984591679506934,341,0.026271186440677965,37,0.0028505392912172574,-283.13913713405236,-248.0,60.14076246334311,0.018226396811432295,0.1353267954239617,7.998305084745763,17.889599383667182,0.14999999999999997,0.009622144134046268,0.07408452318539886,24.82318707995298,162.84181910671398,206.6871762013243,0.0,950.0,0.01640901632265308
W_LOGISTICS,critical,26909,0.07483598601674764,2477,0.09205098665873872,1244,0.04622988591177673,100,0.0037162287710431454,-205.68895165186368,-194.0,75.62057877813506,0.02053467510187004,0.128571112952692,7.998439183916162,17.10498346278197,0.14999999999999997,0.07225810278185577,0.46627322974809937,18.507334274267013,84.90041824613024,125.35186594721068,0.0,3834.0,0.06622333534847569
W_LOGISTICS,f_bottleneck,24253,0.06744944698294922,1028,0.0423865088854987,446,0.018389477590401188,20,0.0008246402506906362,-316.47561126458584,-294.0,87.9304932735426,0.023201159902309358,0.12645534567686462,7.998680575598895,16.972663175689604,0.14999999999999997,0.011192210724480432,0.08486018238312494,23.989336847310273,140.76498242744736,186.35121462178472,0.0,742.0,0.012816305380430089
W_LOGISTICS,high_reconfiguration,26441,0.07353444224121389,2500,0.09455013047918007,1282,0.04848530690972354,106,0.0040089255323172346,-230.60973488143415,-216.0,84.9820592823713,0.02089539043620682,0.13104923558969117,7.9986384781211,17.30675844332665,0.14999999999999997,0.011390673109488263,0.08889451302454912,51.06953932638827,142.0928647150633,181.14498235235217,0.0,4457.0,0.07698419552638397
W_LOGISTICS,overloaded_island,26782,0.07448278930842972,2134,0.07968038234635202,1073,0.040064222238817115,116,0.0043312672690613094,-245.60171010380105,-215.0,65.01304753028892,0.017419297214398922,0.12783543011922288,7.999103875737435,17.12612948995594,0.14999999999999997,0.005454089527050815,0.0377442135128775,23.598476413010264,117.12227546198811,177.36383438678203,0.0,3621.0,0.06254426116244927
W_LOGISTICS,random,27334,0.07601794350521313,2604,0.09526596912270432,1367,0.05001097534206483,180,0.006585205238896612,-228.81327284700373,-215.0,79.71470373079737,0.019968404329510723,0.13253874761882625,7.998500036584473,17.379893173337237,0.14999999999999997,0.01062485417024475,0.09056596189861116,24.041534243086545,134.0699079869482,177.82090643287265,0.0,7745.0,0.13377666465152432
W_LOGISTICS,related,29550,0.08218080890389434,3747,0.1268020304568528,2224,0.07526226734348562,306,0.010355329949238578,-181.12717428087987,-175.0,81.43705035971223,0.020032422656162473,0.13380020294446734,7.998443316412859,17.582470389170897,0.14999999999999997,0.011052982255655102,0.09080947707585817,24.147671020994835,136.80878218694653,181.2953647457559,0.0,11828.0,0.20430088954141118
W_LOGISTICS,w_bottleneck,25655,0.0713485161566636,1655,0.06450984213603586,888,0.034613135840966675,82,0.003196258039368544,-286.1688169947379,-245.0,81.44707207207207,0.02220922889529025,0.12662597211549495,7.99816799844085,17.003430130578835,0.14999999999999997,0.011496067112569808,0.07769609075824785,24.289151600650563,166.28535856164697,201.7436974634475,0.0,2550.0,0.044045254339753
