method,instance_id,instance_relative_path,scale,CF_level,RI_level,TI_level,seed,time_limit_seconds,final_best,time_to_best,evals_to_best,total_runtime,total_decoder_evals,initialization_seconds,iterations,feasible,model_load_seconds,policy_sha256
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671305.0,118.0,1579.0,102.21161481598392,39457,118.0003431100049,45574,0.025840927963145077,5697,True,,
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671301.0,110.0,1342.0,109.62325592699926,47081,110.00014295405708,47242,0.02297240204643458,5906,True,,
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671302.0,110.0,1353.0,84.91747607802972,36657,110.00017425301485,47274,0.022467400005552918,5910,True,,
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671303.0,110.0,1341.0,91.05044159898534,38953,110.00130894198082,47079,0.02295596996555105,5885,True,,
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671304.0,110.0,1428.0,17.518090459983796,7457,110.00093299802393,45954,0.022930255974642932,5745,True,,
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671305.0,110.0,1399.0,36.1880637909635,15601,110.00015826598974,47222,0.022741873981431127,5903,True,,
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF3_RI2_TI2_R08.json,S,CF3,RI2,TI2,671301.0,126.0,1785.0,0.0443806920084171,1,126.00063632300589,44996,0.0443806920084171,5625,True,,
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF3_RI2_TI2_R08.json,S,CF3,RI2,TI2,671302.0,126.0,1759.0,99.03742303099716,35193,126.00241472397465,44595,0.04498545796377584,5575,True,,
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF3_RI2_TI2_R08.json,S,CF3,RI2,TI2,671303.0,126.0,1780.0,59.67629691399634,21017,126.00193210702855,44797,0.04353940999135375,5600,True,,
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF3_RI2_TI2_R08.json,S,CF3,RI2,TI2,671304.0,126.0,1745.0,108.47645458497573,37929,126.00258900900371,44074,0.044106108020059764,5510,True,,
