method,instance_id,seed,eligible_decisions,interventions,fallbacks,solver_runtime_seconds,total_decision_overhead_ms,decision_overhead_fraction,total_csg_build_ms,total_model_inference_ms,total_calibration_gate_ms,mean_decision_overhead_ms
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671305,2458,50,2408,118.02140984300058,73696.43852225272,0.624432792493229,14256.345872126985,48917.94479259988,295.77433184022084,29.982277673821287
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671301,2383,0,2383,110.00084247800989,71359.67222996987,0.6487193245291306,13861.152709228918,47441.193851293065,286.31385538028553,29.945309370528694
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671302,2362,5,2357,110.01345216098709,71070.33197948476,0.6460149243883803,14046.197908872273,47005.14047703473,280.4187086294405,30.08904825549736
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671303,2396,3,2393,110.02823171496856,71310.24243152933,0.6481085928587915,13752.819060289767,47537.534089933615,283.45565765630454,29.76220468761658
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671304,2395,0,2395,110.0052209830028,71423.46768913558,0.6492734349415235,13763.912218797486,47605.97594548017,286.8020585156046,29.8219071770921
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671305,2375,1,2374,110.01157626998612,71375.51815941697,0.648800067951485,14105.417726095766,47217.32442616485,283.1800442072563,30.05284975133346
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671301,2449,16,2433,126.00037210102892,77883.274249034,0.6181193987791248,18122.654397971928,48614.20884396648,298.5207595047541,31.80207196775582
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671302,2466,8,2458,126.03206569998292,77823.21280392352,0.6174874018900895,17530.195114261005,49099.16857891949,301.36746633797884,31.558480455767853
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671303,2440,35,2405,126.00127171998612,78876.44739175448,0.6259972325282748,18931.11326365033,48777.10704301717,298.2333951513283,32.326412865473145
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671304,2429,9,2420,126.00966299400898,77089.53853213461,0.6117748171090638,17373.251013981644,48588.07908464223,299.2812337470241,31.737150486675425
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671305,2421,20,2401,126.00034112401772,78026.60137048224,0.6192570645001936,18710.7110748766,48239.40107994713,295.33339658519253,32.22907945910047
