method,instance_id,scale,CF_level,operation_count,run_count,draft_bks,best_makespan,mean_makespan,median_makespan,std_makespan,mean_rpd_percent,median_rpd_percent,median_objective_rank,attains_bks,feasibility_rate
DABC-RIACRSP,CB1_CORE_M_CF1_R05,M,CF1,110,5,2831.0,2981.0,3010.6,3016.0,22.097511172075464,6.344048039561992,6.534793359237018,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF1_R05,M,CF1,110,5,2831.0,2857.0,2964.2,2974.0,87.59965753357714,4.705051218650654,5.051218650653479,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF1_R05,M,CF1,110,5,2831.0,2831.0,2848.4,2844.0,16.742162345408076,0.614623807841752,0.4592016955139527,1.0,True,1.0
GA,CB1_CORE_M_CF2_R01,M,CF2,122,5,3044.0,3231.0,3420.4,3473.0,123.42933200823863,12.365308804204995,14.09329829172142,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF2_R01,M,CF2,122,5,3044.0,3642.0,3701.0,3692.0,49.86983055916673,21.583442838370566,21.28777923784494,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF2_R01,M,CF2,122,5,3044.0,3408.0,3555.6,3579.0,107.97360788637194,16.80683311432326,17.57555847568988,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF2_R01,M,CF2,122,5,3044.0,3195.0,3304.6,3276.0,116.36709156802021,8.561103810775297,7.6215505913272015,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF2_R01,M,CF2,122,5,3044.0,3044.0,3113.2,3123.0,42.53469172334508,2.273324572930355,2.59526938239159,1.0,True,1.0
GA,CB1_CORE_M_CF2_R02,M,CF2,115,5,2549.0,2729.0,2855.2,2830.0,123.66769990583637,12.012553942722636,11.023930953315025,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF2_R02,M,CF2,115,5,2549.0,3159.0,3203.2,3202.0,34.521008096520006,25.66496665358964,25.617889368379757,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF2_R02,M,CF2,115,5,2549.0,2800.0,2942.4,2959.0,106.26288157207107,15.433503334641037,16.084739113377797,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF2_R02,M,CF2,115,5,2549.0,2629.0,2697.6,2686.0,66.0779842307557,5.829737151824245,5.374656728128678,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF2_R02,M,CF2,115,5,2549.0,2549.0,2633.2,2632.0,79.9574887049362,3.303256178893684,3.2561788936837974,1.0,True,1.0
GA,CB1_CORE_M_CF2_R03,M,CF2,122,5,2905.0,3001.0,3111.8,3107.0,103.66146825122631,7.118760757314975,6.953528399311532,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF2_R03,M,CF2,122,5,2905.0,3441.0,3541.0,3561.0,57.18828551373087,21.89328743545611,22.581755593803788,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF2_R03,M,CF2,122,5,2905.0,3219.0,3303.2,3313.0,74.67061001491818,13.707401032702236,14.044750430292599,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF2_R03,M,CF2,122,5,2905.0,2905.0,3026.4,3009.0,84.18907292517243,4.179001721170396,3.5800344234079176,1.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF2_R03,M,CF2,122,5,2905.0,3008.0,3038.8,3036.0,36.40329655402104,4.605851979345955,4.509466437177281,2.0,False,1.0
GA,CB1_CORE_M_CF2_R04,M,CF2,125,5,2927.0,2937.0,3052.4,3073.0,85.75430018372256,4.284250085411684,4.988042364195422,2.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF2_R04,M,CF2,125,5,2927.0,3526.0,3603.6,3610.0,45.66508513076484,23.11581824393577,23.334472155790912,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF2_R04,M,CF2,125,5,2927.0,3253.0,3324.8,3318.0,48.551004109081,13.590707208746156,13.358387427400068,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF2_R04,M,CF2,125,5,2927.0,2927.0,3104.0,3026.0,172.7035031491834,6.047147249743764,3.3823026990092244,1.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF2_R04,M,CF2,125,5,2927.0,2988.0,3072.0,3074.0,61.18823416311342,4.953877690468056,5.022207037922787,3.0,False,1.0
GA,CB1_CORE_M_CF2_R05,M,CF2,115,5,3146.0,3167.0,3336.0,3329.0,135.08145690656434,6.039415130324221,5.816910362364908,2.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF2_R05,M,CF2,115,5,3146.0,3560.0,3572.0,3573.0,9.0,13.541004450095361,13.572790845518119,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF2_R05,M,CF2,115,5,3146.0,3386.0,3498.6,3516.0,98.81953248219706,11.207883026064845,11.760966306420851,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF2_R05,M,CF2,115,5,3146.0,3308.0,3387.4,3341.0,93.22177857131884,7.6732358550540365,6.198347107438017,3.0,False,1.0
