,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
capability_selectivity_max,0.012757169706532574,0.03413446488439045,0.01525680754005441,,,0.016007095287766792,0.03508459457504625,0.8690813625478205,0.8189306239086068,,,0.7686508769593596,0.9015779219488702,0.9317768287598565,,0.08471066972590717,0.9317768287598565,0.8420207158423887,0.7228821449891806,0.7188084162848315,1.0,0.008706234372541439,0.0012830593355875359,-0.3387914338371783,-0.6546948078253223,-0.06770226425484122,-0.26691939754313454,0.033686334239535515,0.033686334239535515,0.012757169706532574,0.012757169706532574,-0.01058512792868057,0.019626361320817794,0.16180225992093944,0.16449529760698972,0.02553659393104089,-0.021352851651323758,-0.08564476423230842,0.0006688561844318509,0.24518865539932908,,-0.00022820227209134294,-7.848152602651947e-05,0.03413446488439037,0.03413446488439037,0.015256807540054424,0.015256807540054424,0.24518865539932908
processing_CV_mean,0.010836708193107841,0.028044084395882046,0.01446215636792088,,,0.015584489187119209,0.0215329459161529,0.022707259902816784,-0.018518431966454654,,,0.02963156616781052,0.012435750485584585,0.026339929467752432,,0.12777499305247547,0.026339929467752436,-3.796063914181064e-05,-0.07922559246231982,0.06274144226085134,0.008706234372541439,1.0,0.8997252694488378,0.44432087880150584,-0.12162754547941591,-0.025205328595049717,-0.20666761296331876,-0.00041134403550495863,-0.00041134403550495863,0.010836708193107595,0.010836708193107595,0.013801919206078053,0.02530079580481237,0.013923198439083451,0.06168194371896264,0.012896222670932472,0.020403368489113706,0.1147752644543444,0.00012740597494409535,0.17111840215507926,,-0.0001467189066408325,0.0012662372654015323,0.028044084395881866,0.028044084395881866,0.014462156367920595,0.014462156367920595,0.17111840215507926
processing_CV_median,0.0708790322137646,0.077516025520262,0.049754075529836884,,,0.0426178459744514,0.07116183386652936,0.1000349530914345,0.07189723202256933,,,0.11862315523395507,0.07893455913128702,0.07249553927810586,,0.22435978149221592,0.07249553927810586,0.06580754512168642,-0.19108502123805815,0.14276048725843996,0.0012830593355875359,0.8997252694488378,1.0,0.28766822670972825,-0.1949284257998967,-0.006985724508789762,-0.17189633191469406,0.0650097140742949,0.0650097140742949,0.07087903221376474,0.07087903221376474,0.079975186744063,0.10401552323730856,0.028646831164750693,0.05690390213683669,0.02154442716899404,0.020110271735252698,0.10641499283741816,-8.744094917992433e-05,0.09686308190881321,,0.0001467716156411504,0.0012197031530275582,0.07751602552026217,0.07751602552026217,0.04975407552983709,0.04975407552983709,0.09686308190881321
processing_CV_p90,0.1164187532970501,0.13131674635841278,0.13474447359756447,,,0.14014320174715184,0.13252087098100496,-0.3111416458650429,-0.30349884171280145,,,-0.29418838494467653,-0.33140770842944595,-0.3100216537276629,,0.043138439711856796,-0.31002165372766294,-0.23842071855498964,-0.23937662060372328,-0.29558391943214773,-0.3387914338371783,0.44432087880150584,0.28766822670972825,1.0,0.09979346519841875,-0.06845048442538273,-0.11895479464512419,-0.004202173915549329,-0.004202173915549329,0.11641875329705025,0.11641875329705025,0.11890847809506917,0.09192716532555008,-0.03450802081803365,-0.015195261309408382,0.007880093351309469,0.016914384597302046,0.0917122557651069,-0.000584153605838206,0.04803986957569207,,-1.5976943407018342e-07,0.0005622671306257377,0.1313167463584129,0.1313167463584129,0.13474447359756447,0.13474447359756447,0.04803986957569207
processing_min_max_ratio_mean,-0.6863670692837458,-0.6951316296912392,-0.6768726604584426,,,-0.6707520037360111,-0.6945382652035108,-0.6541903662141089,-0.6493909376795639,,,-0.5856322528825216,-0.6269853301021896,-0.6906653061122429,,0.21509287658137816,-0.6906653061122431,-0.7292239866028222,-0.29414751674156114,-0.4812129541000521,-0.6546948078253223,-0.12162754547941591,-0.1949284257998967,0.09979346519841875,1.0,0.004494712642393815,0.4948281214557258,-0.24066038054946645,-0.24066038054946645,-0.6863670692837458,-0.6863670692837458,-0.6646527092084819,-0.6864608022218839,-0.21142852479551374,-0.20436489589376422,-0.10451110873677862,-0.06324762903452867,-0.3192892002595967,0.0009172302857442333,-0.35607031554767826,,-0.00034328620016056433,8.002617199745595e-05,-0.6951316296912392,-0.6951316296912392,-0.6768726604584425,-0.6768726604584425,-0.35607031554767826
mean_processing_time,0.1019261510729941,0.10237508551680853,0.07888780656762506,,,0.07099559435611624,0.11243635298703006,-0.1393969527752661,-0.09029742326518342,,,-0.12661610999010478,-0.12455255888651906,-0.11784441916204447,,0.14647183582980228,-0.11784441916204444,-0.1432578506623442,-0.11022688806024018,-0.02341911417586847,-0.06770226425484122,-0.025205328595049717,-0.006985724508789762,-0.06845048442538273,0.004494712642393815,1.0,0.051102515126665596,0.25215765915218985,0.25215765915218985,0.10192615107299406,0.10192615107299406,0.12995798747077333,0.13399198846949273,0.04680339048877682,0.07646617914556597,0.04237799177557031,0.03574156160494191,-0.023450089970139323,0.0005892339256738079,-0.3296049293071582,,-0.00048018388598812436,-0.0005340301836800461,0.10237508551680861,0.10237508551680861,0.0788878065676252,0.0788878065676252,-0.3296049293071582
precedence_edge_density,-0.4947734908055401,-0.5758475174681437,-0.45461658603226,,,-0.43944857330085674,-0.5619510153487081,-0.11226692600515255,-0.07702632623122059,,,-0.06279427846337499,-0.1287041678485782,-0.16793365206892832,,0.20907579872429755,-0.1679336520689283,-0.19440199714018183,-0.2732133561994705,-0.003460752694501648,-0.26691939754313454,-0.20666761296331876,-0.17189633191469406,-0.11895479464512419,0.4948281214557258,0.051102515126665596,1.0,0.08136927974614223,0.08136927974614223,-0.4947734908055402,-0.4947734908055402,-0.4991739252019841,-0.4979641524221682,-0.09670044852812536,-0.07361536202961597,-0.06072427073373473,-0.06180432071325095,-0.3188405857589531,-0.0012059465939438534,-0.366914206069308,,-0.0005264391924934669,-0.00024330179989926937,-0.5758475174681439,-0.5758475174681439,-0.45461658603225974,-0.45461658603225974,-0.366914206069308
mean_predecessor_count,0.25039237139142206,0.2742852493698038,0.22231571804288142,,,0.2121359087167748,0.3268526914866041,0.09068710595557039,0.10406052694407686,,,0.10122793337954991,0.06370025587395306,0.029167489744080562,,-0.12328854599023807,0.029167489744080604,0.028200641745439427,0.04385454067140706,-0.052355490801933614,0.033686334239535515,-0.00041134403550495863,0.0650097140742949,-0.004202173915549329,-0.24066038054946645,0.25215765915218985,0.08136927974614223,1.0,1.0,0.250392371391422,0.250392371391422,0.26367945150077465,0.25504450419451236,0.04824573075071197,0.057297272883320156,0.06452318617280586,0.06411475371894551,0.278600612584533,-0.0016610916294121276,0.014709823899496191,,-0.00014828262926036697,-0.000513344641631471,0.27428524936980386,0.27428524936980386,0.22231571804288142,0.22231571804288142,0.014709823899496191
mean_successor_count,0.25039237139142206,0.2742852493698038,0.22231571804288142,,,0.2121359087167748,0.3268526914866041,0.09068710595557039,0.10406052694407686,,,0.10122793337954991,0.06370025587395306,0.029167489744080562,,-0.12328854599023807,0.029167489744080604,0.028200641745439427,0.04385454067140706,-0.052355490801933614,0.033686334239535515,-0.00041134403550495863,0.0650097140742949,-0.004202173915549329,-0.24066038054946645,0.25215765915218985,0.08136927974614223,1.0,1.0,0.250392371391422,0.250392371391422,0.26367945150077465,0.25504450419451236,0.04824573075071197,0.057297272883320156,0.06452318617280586,0.06411475371894551,0.278600612584533,-0.0016610916294121276,0.014709823899496191,,-0.00014828262926036697,-0.000513344641631471,0.27428524936980386,0.27428524936980386,0.22231571804288142,0.22231571804288142,0.014709823899496191
number_of_source_operations,1.0,0.991651790843894,0.9897433186107877,,,0.9819805060619657,0.9881141543340123,-0.05817412939629553,-0.021674659751152268,,,-0.10214806461283,-0.09897882079828182,-0.015611031530386149,,-0.42343350772910954,-0.015611031530386149,0.10626571502922132,-0.050791637570146764,-0.19350802325603994,0.012757169706532574,0.010836708193107595,0.07087903221376474,0.11641875329705025,-0.6863670692837458,0.10192615107299406,-0.4947734908055402,0.250392371391422,0.250392371391422,1.0,1.0,0.9896657284467824,0.9878764756868386,0.13628073134919705,0.11638235456759412,0.13017156444247954,0.1227128525693947,0.586912444945166,-0.001588791262080225,0.3491326278292873,,0.00045467912557488647,-0.0001256441168091681,0.9916517908438941,0.9916517908438941,0.9897433186107875,0.9897433186107875,0.3491326278292873
