algorithm,instance_id,seed,scale,auc_available_horizon,available_budget_fraction,mean_normalized_incumbent_over_available_horizon,first_incumbent_budget_fraction
NGAS_A1_6,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,0.7729010693447542,0.9992616605422114,0.7734721543558158,0.0007383394577885495
NGAS_A1_6,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,0.7879611318890936,0.9991730615000117,0.7886132665608142,0.0008269384999882923
NGAS_A1_6,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,0.7768893309703518,0.9992084468343907,0.7775047673302083,0.0007915531656093312
NGAS_A1_6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,0.8016925202465771,0.9992712961714905,0.8022771426719678,0.0007287038285095721
NGAS_A1_6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,0.8073860484123087,0.9991269878226503,0.80809152215156,0.0008730121773497071
NGAS_A1_6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,0.7952798200204416,0.9992109470696833,0.7959078334286706,0.0007890529303167146
NGAS_A1_6,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,0.9415578405255687,0.9988047941462471,0.9426845426091375,0.001195205853752881
NGAS_A1_6,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,0.93876585863881,0.9987908201967118,0.9399023696011944,0.0012091798032881653
NGAS_A1_6,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,0.9196550298442884,0.9987989703403536,0.9207608909838024,0.0012010296596464344
NGAS_A1_6,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,0.9872345839476563,0.9986271515979789,0.9885917705801485,0.0013728484020210784
NGAS_A1_6,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,0.9986113346237017,0.9986113346237017,1.0,0.0013886653762982832
NGAS_A1_6,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,0.9987296904999818,0.9987296904999818,1.0,0.0012703095000182018
NGAS_A1_6,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,0.9285755836192737,0.9983344805627918,0.9301247244268345,0.0016655194372081203
