algorithm,instance_id,seed,threshold_rpd_percent,target_makespan,hit,first_passage_seconds,first_passage_budget_fraction
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,0.0,2782.0,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,1.0,2809.82,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,2.0,2837.64,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,5.0,2921.1,True,101.00770218900288,0.4139659925778807
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,10.0,3060.2000000000003,True,0.1856335920165293,0.0007607934099038085
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,0.0,2782.0,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,1.0,2809.82,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,2.0,2837.64,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,5.0,2921.1,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,10.0,3060.2000000000003,True,46.26631270701182,0.1896160356844747
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,0.0,3658.0,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,1.0,3694.58,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,2.0,3731.16,True,253.1706328470027,0.9967347749881996
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,5.0,3840.9,True,43.802646544005256,0.1724513643464774
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,10.0,4023.8,True,0.13752061800914817,0.0005414197559415282
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,0.0,3658.0,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,1.0,3694.58,True,139.29591291298857,0.5484091059566479
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,2.0,3731.16,True,50.44991630499135,0.19862171773618642
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,5.0,3840.9,True,36.401513020013226,0.14331304338587883
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,10.0,4023.8,True,0.13890493800863624,0.0005468698346796702
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,0.0,3658.0,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,1.0,3694.58,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,2.0,3731.16,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,5.0,3840.9,True,96.79755108300014,0.3810927207992132
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,10.0,4023.8,True,0.13772480300394818,0.0005422236338738117
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,0.0,2639.0,False,,
