dataset_origin,dimension,value,utility,states,informative_states,positive_best_states,mean_actions,mean_spearman_informative,mean_top1_normalized_rank_informative,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best
R12_DEVELOPMENT_EXPOSED,repair_strategy,greedy,U0_IMMEDIATE,18,4,4,71.16666666666667,0.1707343459470882,0.014239850869925436,30.25,0.25,0.25
R12_DEVELOPMENT_EXPOSED,repair_strategy,greedy,U1_SHORT_HORIZON,18,5,5,71.16666666666667,0.19839860097493614,0.02559711208427033,41.4,0.2,0.2
R12_DEVELOPMENT_EXPOSED,repair_strategy,greedy,U2_COST_NORMALIZED,18,5,5,71.16666666666667,0.19839860097493614,0.02559711208427033,192.0370514179444,0.2,0.2
R12_DEVELOPMENT_EXPOSED,repair_strategy,greedy,U3_STOCHASTIC_ROBUSTNESS,18,18,0,71.16666666666667,0.7313898617953818,0.10274374293501846,,,
R12_DEVELOPMENT_EXPOSED,repair_strategy,reconfiguration_aware,U0_IMMEDIATE,18,1,1,71.16666666666667,0.15703755976889464,0.014084507042253521,4.0,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,reconfiguration_aware,U1_SHORT_HORIZON,18,2,2,71.16666666666667,0.19090712986937303,0.021227364185110665,36.0,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,reconfiguration_aware,U2_COST_NORMALIZED,18,2,2,71.16666666666667,0.19090712986937303,0.021227364185110665,109.70275706843034,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,reconfiguration_aware,U3_STOCHASTIC_ROBUSTNESS,18,18,0,71.16666666666667,0.5460996927262486,0.1523280918817823,,,
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret2,U0_IMMEDIATE,18,1,1,71.16666666666667,0.14561664633115684,0.014084507042253521,115.0,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret2,U1_SHORT_HORIZON,18,3,3,71.16666666666667,0.2772389423861321,0.04735077129443327,93.0,0.0,0.6666666666666666
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret2,U2_COST_NORMALIZED,18,3,3,71.16666666666667,0.2774706526066311,0.04735077129443327,323.22599640037123,0.0,0.6666666666666666
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret2,U3_STOCHASTIC_ROBUSTNESS,18,18,0,71.16666666666667,0.7037110512204888,0.1260818248507813,,,
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret3,U0_IMMEDIATE,18,3,3,71.16666666666667,0.1626569556837064,0.01898646782656725,27.333333333333332,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret3,U1_SHORT_HORIZON,18,4,4,71.16666666666667,0.19854111202556782,0.0320466919162031,36.5,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret3,U2_COST_NORMALIZED,18,4,4,71.16666666666667,0.19875090526722006,0.0320466919162031,153.13813961515444,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,regret3,U3_STOCHASTIC_ROBUSTNESS,18,18,0,71.16666666666667,0.7065082403625698,0.1254906773214831,,,
R12_DEVELOPMENT_EXPOSED,repair_strategy,transport_aware,U0_IMMEDIATE,18,5,5,71.16666666666667,0.030056896013418072,0.02853473783879749,29.6,0.0,0.0
R12_DEVELOPMENT_EXPOSED,repair_strategy,transport_aware,U1_SHORT_HORIZON,18,6,6,71.16666666666667,0.07021163672532356,0.049935889848897304,32.833333333333336,0.0,0.16666666666666666
R12_DEVELOPMENT_EXPOSED,repair_strategy,transport_aware,U2_COST_NORMALIZED,18,6,6,71.16666666666667,0.07018422842873377,0.049935889848897304,132.80369372635525,0.0,0.16666666666666666
R12_DEVELOPMENT_EXPOSED,repair_strategy,transport_aware,U3_STOCHASTIC_ROBUSTNESS,18,18,0,71.16666666666667,0.3039901968122686,0.20566743265313203,,,
