dimension,group,trial,actions,instances,mean_raw_marginal_best_reduction,probability_best_changes_after_k,mean_raw_quality_loss_vs_eight,mean_positive_gain_at_k,mean_positive_gain_loss_vs_eight,no_new_best_probability,mean_signed_trial_variance
repair,greedy,1,2555,24,0.0,0.8720156555772994,187.8637964774951,0.0,0.06810176125244619,0.0,23700.46258561644
repair,greedy,2,2555,24,84.86105675146771,0.7401174168297456,103.0027397260274,0.022700587084148727,0.045401174168297455,0.5131115459882584,23700.46258561644
repair,greedy,3,2555,24,38.26614481409002,0.6078277886497064,64.73659491193737,0.030528375733855185,0.037573385518591,0.6731898238747553,23700.46258561644
repair,greedy,4,2555,24,22.661448140900195,0.48610567514677105,42.07514677103718,0.05322896281800391,0.01487279843444227,0.7479452054794521,23700.46258561644
repair,greedy,5,2555,24,16.53620352250489,0.3549902152641879,25.53894324853229,0.05518590998043053,0.012915851272015656,0.7992172211350294,23700.46258561644
repair,greedy,6,2555,24,11.28962818003914,0.22818003913894325,14.24931506849315,0.05518590998043053,0.012915851272015656,0.8407045009784736,23700.46258561644
repair,greedy,7,2555,24,8.192172211350293,0.10724070450097847,6.057142857142857,0.05518590998043053,0.012915851272015656,0.861839530332681,23700.46258561644
repair,greedy,8,2555,24,6.057142857142857,0.0,0.0,0.06810176125244619,0.0,0.8927592954990216,23700.46258561644
repair,reconfiguration_aware,1,2555,24,0.0,0.8919765166340509,188.4962818003914,0.0,0.01604696673189824,0.0,21198.25837818004
repair,reconfiguration_aware,2,2555,24,87.07162426614481,0.7557729941291585,101.42465753424658,0.01604696673189824,0.0,0.4645792563600783,21198.25837818004
repair,reconfiguration_aware,3,2555,24,38.698238747553816,0.6215264187866928,62.72641878669276,0.01604696673189824,0.0,0.6430528375733855,21198.25837818004
repair,reconfiguration_aware,4,2555,24,19.210567514677102,0.5174168297455969,43.51585127201565,0.01604696673189824,0.0,0.7702544031311155,21198.25837818004
repair,reconfiguration_aware,5,2555,24,14.685714285714285,0.3898238747553816,28.83013698630137,0.01604696673189824,0.0,0.7968688845401174,21198.25837818004
repair,reconfiguration_aware,6,2555,24,11.104500978473581,0.26301369863013696,17.725636007827788,0.01604696673189824,0.0,0.8293542074363992,21198.25837818004
repair,reconfiguration_aware,7,2555,24,10.650880626223092,0.11859099804305284,7.074755381604697,0.01604696673189824,0.0,0.837573385518591,21198.25837818004
