state_key,instance_id,dataset_origin,scale,search_stage,left,right,informative,spearman,same_top1,top5_overlap,top10_overlap
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,False,,True,,
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,0.44549648449289947,False,1,3
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U2_COST_NORMALIZED,True,0.44596599649600704,False,1,3
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,True,0.20216103165792218,False,1,3
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,True,0.999959872581255,True,4,9
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,True,0.39694601733721524,False,0,1
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,True,0.3969686273151358,False,0,1
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,True,,True,,
