state_key,instance_id,dataset_origin,dataset_role,scale,CF_level,search_stage,offset,iteration,actions,fresh_bank_actions,informative_U0,positive_best_U0,stale_U0_spearman,stale_top1_normalized_rank,stale_top1_regret,semantic_bank_jaccard,top1_same_semantics,top5_overlap_fraction,top10_overlap_fraction,common_rank_spearman,common_prior_mean_absolute_drift,common_advantage_mean_absolute_drift,common_percentile_rank_mean_absolute_drift,operation_feature_relative_l2,operation_feature_mean_absolute,graph_edge_jaccard,critical_signature_changed,dominant_bottleneck_changed,stale_top1_U0,fresh_top1_U0,archived_selected_U0,stale_top1_regret_union,fresh_top1_regret_union,archived_selected_regret_union
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,5,3625,355,360,True,True,0.04252812290821405,0.002824858757062147,4.0,0.12598425196850394,False,0.2,0.1,0.9968588842006564,0.0003969322827402651,0.00013201506808400155,0.05718263616763451,0.0,0.0,1.0,False,False,0.0,0.0,0.0,4.0,4.0,4.0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,10,3630,355,360,True,True,0.04927038629610163,0.002824858757062147,5.0,0.144,False,0.0,0.2,0.9999012223731325,0.00032265900211440147,4.712798529201084e-05,0.035820712833129625,0.0,0.0,1.0,False,False,0.0,0.0,0.0,5.0,5.0,5.0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,15,3635,355,350,False,False,,0.0,0.0,0.11904761904761904,False,0.2,0.1,0.9999999999999999,0.00020302397013722008,1.817941665649414e-08,0.04879510465737458,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,19,3639,355,360,False,False,,0.0,0.0,0.12598425196850394,False,0.0,0.1,1.0,0.00024140253393016158,0.0,0.028593334434949564,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,0,2820,345,345,False,False,,0.0,0.0,1.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,5,2825,345,345,False,False,,0.0,0.0,0.15966386554621848,False,0.0,0.1,0.9997200447928333,0.00015629757047733723,5.789924609033685e-05,0.025887392900856777,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,10,2830,345,355,False,False,,0.0,0.0,0.16666666666666666,False,0.0,0.1,0.9963276327632762,0.00017944862530099866,0.00014815106987953186,0.03320654316121403,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,15,2835,345,340,False,False,,0.0,0.0,0.14166666666666666,False,0.0,0.1,0.9993355481727575,0.0003835913484718392,2.126465825473561e-05,0.036906044574652255,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,19,2839,345,345,False,False,,0.0,0.0,0.1794871794871795,False,0.0,0.1,0.9960294422558573,0.00021693979393713224,0.00013457295440492175,0.027879291251384275,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,0-20%,0,660,360,360,True,True,0.09051200843567524,0.008356545961002786,58.0,1.0,True,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,58.0,58.0,58.0
