state_key,instance_id,dataset_origin,dataset_role,scale,CF_level,search_stage,search_conditions,actions,utility,informative,positive_best_available,spearman,top1_realized_rank,top1_normalized_rank,top1_regret,best_utility,top1_utility,hit_at_1,hit_at_5,hit_at_10
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U3_STOCHASTIC_ROBUSTNESS,True,False,0.4545098088217809,35,0.09883720930232558,70.125,-76.75,-146.875,False,False,False
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,0-20%,plateau_or_stagnating,360,U0_IMMEDIATE,True,True,0.09051200843567524,4,0.008356545961002786,58.0,58.0,0.0,False,False,False
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,0-20%,plateau_or_stagnating,360,U1_SHORT_HORIZON,True,True,0.09051200843567524,4,0.008356545961002786,58.0,58.0,0.0,False,False,False
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,0-20%,plateau_or_stagnating,360,U2_COST_NORMALIZED,True,True,0.09051200843567524,4,0.008356545961002786,369.1280184472002,369.1280184472002,0.0,False,False,False
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,0-20%,plateau_or_stagnating,360,U3_STOCHASTIC_ROBUSTNESS,True,False,0.6106181010660914,131,0.362116991643454,272.5,-150.625,-423.125,False,False,True
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,0-20%,plateau_or_stagnating|bottleneck_or_critical_transition,360,U0_IMMEDIATE,True,True,0.11476556698867739,8,0.019498607242339833,115.0,115.0,0.0,False,False,False
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,0-20%,plateau_or_stagnating|bottleneck_or_critical_transition,360,U1_SHORT_HORIZON,True,True,0.1305244027983305,13,0.033426183844011144,162.0,162.0,0.0,False,False,False
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,0-20%,plateau_or_stagnating|bottleneck_or_critical_transition,360,U2_COST_NORMALIZED,True,True,0.13066252736041628,13,0.033426183844011144,516.9706913704579,516.9706913704579,0.0,False,False,False
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,0-20%,plateau_or_stagnating|bottleneck_or_critical_transition,360,U3_STOCHASTIC_ROBUSTNESS,True,False,0.4495357214874791,37,0.10027855153203342,179.0,-172.875,-351.875,False,False,False
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,40-60%,plateau_or_stagnating,360,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,40-60%,plateau_or_stagnating,360,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,40-60%,plateau_or_stagnating,360,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF1,40-60%,plateau_or_stagnating,360,U3_STOCHASTIC_ROBUSTNESS,True,False,0.6496576455624262,9,0.022284122562674095,61.75,-204.5,-266.25,False,False,False
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,80-100%,plateau_or_stagnating,355,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,80-100%,plateau_or_stagnating,355,U1_SHORT_HORIZON,True,True,0.0902426022686493,2,0.002824858757062147,27.0,27.0,0.0,False,True,True
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,80-100%,plateau_or_stagnating,355,U2_COST_NORMALIZED,True,True,0.0902426022686493,2,0.002824858757062147,69.39171193694294,69.39171193694294,0.0,False,True,True
