dimension,group,offset,states,instances,informative_states,positive_best_states,informative_state_rate,mean_stale_U0_spearman_informative,mean_stale_top1_regret_positive_best,mean_semantic_bank_jaccard,top1_same_semantics_rate,mean_top5_overlap_fraction,mean_common_rank_spearman,mean_common_percentile_rank_absolute_drift,mean_operation_feature_relative_l2,mean_graph_edge_jaccard,critical_signature_change_rate,dominant_bottleneck_change_rate,mean_stale_top1_U0,mean_fresh_top1_U0,mean_archived_selected_U0,mean_stale_top1_regret_union,mean_fresh_top1_regret_union
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|L,15,6,2,2,2,0.3333333333333333,0.0727337027420024,22.0,0.1066840985962026,0.16666666666666666,0.19999999999999998,0.9985828802459393,0.025374818178348933,0.08322182297706604,0.9031299977153302,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,7.333333333333333,7.333333333333333
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|L,19,6,2,3,3,0.5,0.12530337448793064,46.0,0.10504866109880645,0.16666666666666666,0.10000000000000002,0.9978566053804284,0.023423170253247427,0.08322182297706604,0.9031299977153302,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,23.0,23.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|M,0,6,2,2,2,0.3333333333333333,0.08194769838601786,42.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|M,5,6,2,3,3,0.5,0.061973796455426444,6.0,0.1414443077508928,0.3333333333333333,0.13333333333333333,0.9991933970807915,0.022240770081725574,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|M,10,6,2,3,3,0.5,0.06473346050645394,19.333333333333332,0.14100248874464552,0.16666666666666666,0.10000000000000002,0.9979354505689909,0.03155888367285416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,9.666666666666666
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|M,15,6,2,1,1,0.16666666666666666,0.1067661722522478,17.0,0.12556102622146764,0.16666666666666666,0.10000000000000002,0.9830393147013244,0.03838614669156585,0.06198165317376455,0.8945068664169789,0.16666666666666666,0.0,0.0,0.0,0.0,2.8333333333333335,2.8333333333333335
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|M,19,6,2,1,1,0.16666666666666666,0.1067661722522478,12.0,0.12200354816759017,0.16666666666666666,0.10000000000000002,0.9799393550002232,0.03519382563389991,0.06198165317376455,0.8945068664169789,0.16666666666666666,0.0,0.0,0.0,0.0,2.0,2.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|S,0,6,2,1,1,0.16666666666666666,0.08119577678713709,10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|S,5,6,2,1,1,0.16666666666666666,0.16621414957194666,37.0,0.14977477324149055,0.16666666666666666,0.16666666666666666,0.9944573980082668,0.03385454628669316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,6.166666666666667
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|S,10,6,2,1,1,0.16666666666666666,0.11355459521851835,17.0,0.15968419622118837,0.0,0.16666666666666666,0.9982176712076596,0.030518505172461675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,2.8333333333333335
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|S,15,6,2,1,1,0.16666666666666666,0.10024029468315052,19.0,0.15977904828491665,0.0,0.10000000000000002,0.9906006923734446,0.04228211170962446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,3.1666666666666665
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|S,19,6,2,1,1,0.16666666666666666,0.04764055748763578,7.0,0.15101652892561984,0.0,0.13333333333333333,0.992605633540308,0.03643690860152788,0.0,1.0,0.0,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,0,18,18,4,4,0.2222222222222222,0.04838692292484945,10.25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.0,2.2777777777777777,2.2777777777777777
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,5,18,18,8,8,0.4444444444444444,0.03966545709783655,14.75,0.14127525918806755,0.1111111111111111,0.1,0.9987796862776575,0.028639931625860267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.555555555555555,6.555555555555555
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,10,18,18,7,7,0.3888888888888889,0.024065399837252584,23.857142857142858,0.12724832479506715,0.05555555555555555,0.13333333333333336,0.9846460478624864,0.030321047413477173,0.04223737120628357,0.9675267457306257,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,9.277777777777779,9.277777777777779
