arm,instance_id,scale,CF_level,seed,operation_count,best_makespan,runtime_seconds,time_limit_seconds,best_found_time_seconds,decoder_evaluations,iterations,feasible,replay_feasible,result_path,result_sha256,pooled_best_makespan,rpd_percent
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530103,195,4713.0,390.0361095949993,390.0,385.0805506840006,16346,2044,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R01/seed_530103.json,42e7c4a5add9f3ea5abbbd6907410e03d28d57c4afff8689d417bcd39ff8b88d,4538.0,3.8563243719700306
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530104,195,4689.0,390.03798635099884,390.0,98.73898110399932,16370,2047,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R01/seed_530104.json,4f29fea7161669ec16006521ea29b2bbe4c6458cbe3333e2424d1f821dcfda5c,4538.0,3.3274570295284267
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530105,195,4765.0,390.05551098199976,390.0,1.9211108569998032,16026,2004,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R01/seed_530105.json,add0d81fec353ce1c4ad38cec6405151275b0c983264224dbd02efdc5b8148e2,4538.0,5.00220361392684
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,530101,195,4756.0,390.0072498070076,390.0,170.60628470001393,8415,1052,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R01/seed_530101.json,b8b807dfbfbad046297d48aa397108b38d1c2eb1d3f427ef8a649a44eccde2c1,4538.0,4.803878360511239
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,530102,195,4972.0,390.057648957998,390.0,170.1506935590005,7597,950,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R01/seed_530102.json,6a2af51128b54bbe0604caf8768642a5e9b9da154b3f1e0efa612e666ea1a229,4538.0,9.563684442485677
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,530103,195,4714.0,390.0285564310034,390.0,344.973520206986,7495,937,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R01/seed_530103.json,337f82ca7f992b3047a44b5fa4c3a8ba2a990ce79dfca348ef197c2235853cfc,4538.0,3.878360511238431
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,530104,195,4774.0,390.0005240680184,390.0,225.9412135470193,8121,1015,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R01/seed_530104.json,c6c48f197fe32022850d050d1484a43a75b631e657dd5962f0dd78ac724a4b1c,4538.0,5.200528867342442
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,530105,195,4632.0,390.0491770649969,390.0,303.7748705249978,7540,943,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R01/seed_530105.json,dfe9b242cb3f296ca675b0086a648bc3672ef16a174e5dc151ebe5a29d919d19,4538.0,2.0713970912296165
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530101,183,4480.0,366.06811090296833,366.0,5.561356471967883,16378,2048,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530101.json,5b1e5b30c9014cd4411103555e7c30de7c54b47bb11dc955d87784d63fd68a91,4225.0,6.035502958579881
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530102,183,4380.0,366.03700488997856,366.0,1.1783066599746235,16370,2047,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530102.json,2d4bc630c90709416457eb36cc5eaf03febede29145719e53253b79bb2db1612,4225.0,3.668639053254438
