arm,instance_id,scale,CF_level,seed,eligible_decisions,interventions,intervention_coverage,median_unique_bank_size,median_duplicate_rule_count,median_ni_overhead_ms_per_eligible_decision,cumulative_ni_overhead_fraction,median_uniform_rebuild_ms
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,530104,1905,83,0.04356955380577428,23.0,1.0,39.18673697626218,0.634652714060722,0.0
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,530105,1868,37,0.01980728051391863,23.0,1.0,41.09786302433349,0.6483496993735121,0.0
CSG-NI Full,CB1_CORE_S_CF1_R02,S,CF1,530101,1955,191,0.09769820971867008,23.0,1.0,39.07691896893084,0.6177759343514426,0.0
CSG-NI Full,CB1_CORE_S_CF1_R02,S,CF1,530102,2032,313,0.15403543307086615,23.0,1.0,37.432785000419244,0.610518555198052,0.0
CSG-NI Full,CB1_CORE_S_CF1_R02,S,CF1,530103,2032,352,0.1732283464566929,23.0,1.0,37.17474403674714,0.6040360969801939,0.0
CSG-NI Full,CB1_CORE_S_CF1_R02,S,CF1,530104,2074,451,0.21745419479267117,23.0,1.0,35.45170949655585,0.6044030545294585,0.0
CSG-NI Full,CB1_CORE_S_CF1_R02,S,CF1,530105,2076,138,0.06647398843930635,23.0,1.0,36.01036898908205,0.6078012292329512,0.0
CSG-NI Full,CB1_CORE_S_CF2_R01,S,CF2,530101,1964,21,0.010692464358452138,23.0,1.0,39.6530915168114,0.633126079197356,0.0
CSG-NI Full,CB1_CORE_S_CF2_R01,S,CF2,530102,2006,52,0.0259222333000997,23.0,1.0,37.98702050698921,0.6229862128562786,0.0
CSG-NI Full,CB1_CORE_S_CF2_R01,S,CF2,530103,2008,120,0.05976095617529881,23.0,1.0,37.862956523895264,0.6221629509824392,0.0
CSG-NI Full,CB1_CORE_S_CF2_R01,S,CF2,530104,2010,45,0.022388059701492536,23.0,1.0,37.73038100916892,0.6220103906938,0.0
CSG-NI Full,CB1_CORE_S_CF2_R01,S,CF2,530105,2002,34,0.016983016983016984,23.0,1.0,37.88486699340865,0.6184291502518425,0.0
CSG-NI Full,CB1_CORE_S_CF2_R02,S,CF2,530101,2006,6,0.0029910269192422734,23.0,1.0,38.14481300651096,0.6307363838259394,0.0
