instance,instance_seed,level,split,group,ppo_seed,bc_makespan,ppo_makespan,bc_o_ppo_mwf,ppo_o_bc_mwf,bc_om_ppo_wf,ppo_om_bc_wf,bc_omw_ppo_f,ppo_omw_bc_f,all_feasible
synthetic_M_74001,74001,M,phase5b_structural,fleet_scarcity,510101,1764.0,1764.0,1764.0,1774.0,1764.0,1764.0,1764.0,1764.0,True
synthetic_M_74002,74002,M,phase5b_structural,fleet_scarcity,510101,2647.0,2652.0,2656.0,2645.0,2647.0,2652.0,2647.0,2652.0,True
synthetic_M_74003,74003,M,phase5b_structural,fleet_scarcity,510101,1132.0,1090.0,1135.0,1100.0,1132.0,1090.0,1132.0,1090.0,True
synthetic_M_74004,74004,M,phase5b_structural,fleet_scarcity,510101,2311.0,2263.0,2257.0,2310.0,2311.0,2263.0,2311.0,2263.0,True
synthetic_M_74005,74005,M,phase5b_structural,fleet_scarcity,510101,1730.0,1689.0,1689.0,1708.0,1730.0,1689.0,1730.0,1689.0,True
synthetic_M_74006,74006,M,phase5b_structural,fleet_scarcity,510101,1182.0,1162.0,1176.0,1162.0,1182.0,1162.0,1182.0,1162.0,True
synthetic_M_74007,74007,M,phase5b_structural,fleet_scarcity,510101,1419.0,1437.0,1454.0,1449.0,1419.0,1437.0,1419.0,1437.0,True
synthetic_M_74008,74008,M,phase5b_structural,fleet_scarcity,510101,2885.0,2818.0,2871.0,2889.0,2885.0,2818.0,2885.0,2818.0,True
synthetic_M_74009,74009,M,phase5b_structural,fleet_scarcity,510101,736.0,802.0,764.0,787.0,736.0,802.0,736.0,802.0,True
synthetic_M_74010,74010,M,phase5b_structural,fleet_scarcity,510101,1089.0,1087.0,1082.0,1111.0,1089.0,1087.0,1089.0,1087.0,True
synthetic_S_61001,61001,S,phase5a_development,S,510102,336.0,346.0,336.0,346.0,336.0,346.0,336.0,346.0,True
synthetic_S_61002,61002,S,phase5a_development,S,510102,442.0,376.0,387.0,402.0,387.0,373.0,398.0,373.0,True
synthetic_S_61003,61003,S,phase5a_development,S,510102,711.0,719.0,708.0,726.0,711.0,719.0,711.0,719.0,True
synthetic_S_61004,61004,S,phase5a_development,S,510102,309.0,320.0,309.0,320.0,309.0,320.0,309.0,320.0,True
synthetic_S_61005,61005,S,phase5a_development,S,510102,641.0,658.0,641.0,690.0,641.0,690.0,641.0,690.0,True
synthetic_S_61006,61006,S,phase5a_development,S,510102,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,True
synthetic_S_61007,61007,S,phase5a_development,S,510102,1086.0,1086.0,1086.0,1089.0,1086.0,1086.0,1086.0,1086.0,True
synthetic_S_61008,61008,S,phase5a_development,S,510102,961.0,970.0,961.0,961.0,961.0,970.0,961.0,970.0,True
synthetic_S_61009,61009,S,phase5a_development,S,510102,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,True
synthetic_S_61010,61010,S,phase5a_development,S,510102,474.0,449.0,474.0,449.0,474.0,449.0,474.0,449.0,True
synthetic_M_62001,62001,M,phase5a_development,M,510102,871.0,715.0,707.0,918.0,873.0,906.0,774.0,777.0,True
synthetic_M_62002,62002,M,phase5a_development,M,510102,1445.0,1495.0,1331.0,1525.0,1411.0,1495.0,1411.0,1495.0,True
synthetic_M_62003,62003,M,phase5a_development,M,510102,960.0,795.0,884.0,851.0,864.0,851.0,944.0,1287.0,True
synthetic_M_62004,62004,M,phase5a_development,M,510102,1114.0,948.0,1005.0,1044.0,1066.0,1143.0,1041.0,941.0,True
synthetic_M_62005,62005,M,phase5a_development,M,510102,705.0,603.0,613.0,653.0,623.0,664.0,635.0,618.0,True
synthetic_M_62006,62006,M,phase5a_development,M,510102,1422.0,1412.0,1413.0,1408.0,1422.0,1412.0,1422.0,1412.0,True
synthetic_M_62007,62007,M,phase5a_development,M,510102,1346.0,1305.0,1383.0,1190.0,1417.0,1327.0,1260.0,1327.0,True
synthetic_M_62008,62008,M,phase5a_development,M,510102,1296.0,1272.0,1284.0,1278.0,1296.0,1272.0,1296.0,1272.0,True
synthetic_M_62009,62009,M,phase5a_development,M,510102,1396.0,1403.0,1410.0,1427.0,1396.0,1403.0,1396.0,1403.0,True
synthetic_M_62010,62010,M,phase5a_development,M,510102,1590.0,1498.0,1528.0,1663.0,1590.0,1479.0,1590.0,1498.0,True
synthetic_L_63001,63001,L,phase5a_development,L,510102,3437.0,2858.0,2772.0,3597.0,2903.0,3569.0,2903.0,3569.0,True
synthetic_L_63002,63002,L,phase5a_development,L,510102,2339.0,2298.0,2299.0,2270.0,2579.0,2476.0,2294.0,2476.0,True
synthetic_L_63003,63003,L,phase5a_development,L,510102,2163.0,1903.0,2028.0,1985.0,2036.0,2123.0,2036.0,2123.0,True
synthetic_L_63004,63004,L,phase5a_development,L,510102,6138.0,4259.0,4588.0,4807.0,5491.0,4559.0,5726.0,4559.0,True
synthetic_L_63005,63005,L,phase5a_development,L,510102,2810.0,2727.0,2777.0,2842.0,2870.0,2681.0,2870.0,2830.0,True
synthetic_L_63006,63006,L,phase5a_development,L,510102,4720.0,3896.0,4027.0,4976.0,4067.0,4913.0,4067.0,4913.0,True
synthetic_L_63007,63007,L,phase5a_development,L,510102,3413.0,3337.0,2972.0,3178.0,3474.0,2995.0,3186.0,3440.0,True
synthetic_L_63008,63008,L,phase5a_development,L,510102,3067.0,2430.0,2263.0,2717.0,2699.0,2495.0,2759.0,2498.0,True
synthetic_L_63009,63009,L,phase5a_development,L,510102,5301.0,4381.0,4756.0,5515.0,4866.0,5415.0,4906.0,4570.0,True
synthetic_L_63010,63010,L,phase5a_development,L,510102,5107.0,5252.0,5083.0,4409.0,4869.0,4376.0,4272.0,4941.0,True
synthetic_M_64001,64001,M,phase5a_structural,high_reconfiguration,510102,1245.0,1159.0,1186.0,1194.0,1191.0,1173.0,1191.0,1146.0,True
synthetic_M_64002,64002,M,phase5a_structural,high_reconfiguration,510102,946.0,1090.0,917.0,1127.0,862.0,1061.0,862.0,1061.0,True
synthetic_M_64003,64003,M,phase5a_structural,high_reconfiguration,510102,923.0,925.0,951.0,900.0,923.0,925.0,923.0,925.0,True
synthetic_M_64001,64001,M,phase5a_structural,fleet_scarcity,510102,3495.0,3459.0,3501.0,3473.0,3495.0,3459.0,3495.0,3459.0,True
