instance_id,scale,CF_level,algorithm,mean_improvement_over_ppo_percent,best_improvement_over_ppo_percent
CB1_CORE_M_CF3_R05,M,CF3,GA,43.4873850506956,46.85805234614478
CB1_CORE_S_CF1_R01,S,CF1,ALNS-H1,36.904706700672385,39.17226988175284
CB1_CORE_S_CF1_R01,S,CF1,Adapted DCGA,33.05819615117088,34.059819151402735
CB1_CORE_S_CF1_R01,S,CF1,GA,38.36540690934385,40.66774866682124
CB1_CORE_S_CF1_R02,S,CF1,ALNS-H1,27.656935908691832,29.049604916593506
CB1_CORE_S_CF1_R02,S,CF1,Adapted DCGA,25.951492537313438,26.646180860403867
CB1_CORE_S_CF1_R02,S,CF1,GA,28.687445127304656,29.93854258121159
CB1_CORE_S_CF1_R03,S,CF1,ALNS-H1,16.28857903806987,18.54927150242832
CB1_CORE_S_CF1_R03,S,CF1,Adapted DCGA,8.4020053266489,9.76030079899733
CB1_CORE_S_CF1_R03,S,CF1,GA,17.252075826413908,20.617264609117964
CB1_CORE_S_CF1_R04,S,CF1,ALNS-H1,35.178866263071,38.28288387451844
CB1_CORE_S_CF1_R04,S,CF1,Adapted DCGA,32.94661529994497,34.84865162355531
CB1_CORE_S_CF1_R04,S,CF1,GA,38.081452944413876,40.561364887176666
CB1_CORE_S_CF1_R05,S,CF1,ALNS-H1,26.423802612481854,29.071117561683597
CB1_CORE_S_CF1_R05,S,CF1,Adapted DCGA,23.132075471698105,25.457184325108848
CB1_CORE_S_CF1_R05,S,CF1,GA,27.699564586357035,29.680696661828733
CB1_CORE_S_CF2_R01,S,CF2,ALNS-H1,23.003589948145198,24.172317510969286
CB1_CORE_S_CF2_R01,S,CF2,Adapted DCGA,17.375349022736334,18.907060231352215
CB1_CORE_S_CF2_R01,S,CF2,GA,22.43318707618668,25.12963701635421
CB1_CORE_S_CF2_R02,S,CF2,ALNS-H1,29.535864978902953,30.717299578059073
CB1_CORE_S_CF2_R02,S,CF2,Adapted DCGA,21.43881856540084,22.362869198312236
CB1_CORE_S_CF2_R02,S,CF2,GA,29.852320675105485,36.075949367088604
CB1_CORE_S_CF2_R03,S,CF2,ALNS-H1,34.766166645657385,37.64023698474726
CB1_CORE_S_CF2_R03,S,CF2,Adapted DCGA,31.377788982730372,32.91314761124417
CB1_CORE_S_CF2_R03,S,CF2,GA,37.60998361275684,40.249590318920966
CB1_CORE_S_CF2_R04,S,CF2,ALNS-H1,14.226121503062409,18.457209071345805
CB1_CORE_S_CF2_R04,S,CF2,Adapted DCGA,6.1463333885118345,8.624399933785801
CB1_CORE_S_CF2_R04,S,CF2,GA,15.710975004138394,21.63549081277934
CB1_CORE_S_CF2_R05,S,CF2,ALNS-H1,5.72720422004521,10.36171816126601
CB1_CORE_S_CF2_R05,S,CF2,Adapted DCGA,-9.900150715900534,-7.667671439336855
CB1_CORE_S_CF2_R05,S,CF2,GA,7.626224566691778,13.300678221552369
CB1_CORE_S_CF3_R01,S,CF3,ALNS-H1,46.897497805092186,48.54038630377524
CB1_CORE_S_CF3_R01,S,CF3,Adapted DCGA,41.781167690956984,42.8116769095698
CB1_CORE_S_CF3_R01,S,CF3,GA,47.73375768217735,50.28533801580334
