instance_id,scale,CF_level,algorithm,best,mean,median,standard_deviation,worst,runtime,time_to_best,decoder_evaluations,feasibility_rate,time_limit,h1_makespan,ppo_mean_makespan,mean_improvement_over_h1_percent,mean_improvement_over_ppo_percent,best_improvement_over_h1_percent,best_improvement_over_ppo_percent
CB1_CORE_L_CF2_R01,L,CF2,GA,5352.0,5538.9,5524.0,154.34913526014824,5810.0,390.02148345439343,361.3286505571974,8341.3,1.0,390.0,5018.0,5990.666666666667,-10.380629732961332,7.541175161362129,-6.656038262255879,10.66102826619186
CB1_CORE_L_CF2_R02,L,CF2,ALNS-H1,4410.0,4494.4,4473.0,76.68869248823798,4687.0,366.022191286803,209.01966638280138,8360.7,1.0,366.0,4767.0,5655.0,5.718481225089162,20.523430592396114,7.488986784140969,22.015915119363395
CB1_CORE_L_CF2_R02,L,CF2,Adapted DCGA,5637.0,5753.6,5776.0,57.54264119377514,5802.0,366.140964157501,257.70705552510043,2707.6,1.0,366.0,4767.0,5655.0,-20.6964547933711,-1.74358974358975,-18.250471994965388,0.3183023872679045
CB1_CORE_L_CF2_R02,L,CF2,GA,4690.0,4915.8,4920.5,151.38016896395496,5167.0,366.02364714409924,337.6083746279968,8575.5,1.0,366.0,4767.0,5655.0,-3.121460037759601,13.071618037135275,1.6152716593245227,17.064544650751547
CB1_CORE_L_CF2_R03,L,CF2,ALNS-H1,4009.0,4184.6,4204.5,106.00230605458006,4292.0,368.0287722481968,2.3641536543000257,8373.3,1.0,368.0,4292.0,6225.666666666667,2.5023299161230113,32.78470846495689,6.5936626281453865,35.605289928789425
CB1_CORE_L_CF2_R03,L,CF2,Adapted DCGA,5033.0,5085.6,5080.5,47.96109534473381,5184.0,368.16302418368866,234.34206395439105,2681.8,1.0,368.0,4292.0,6225.666666666667,-18.490214352283324,18.312362799164745,-17.264678471575024,19.15725223536971
CB1_CORE_L_CF2_R03,L,CF2,GA,4178.0,4420.0,4426.5,179.21123476687126,4823.0,368.0258031021018,327.2943859146006,8595.2,1.0,368.0,4292.0,6225.666666666667,-2.982292637465051,29.003587299887563,2.6561043802423114,32.89072120790277
CB1_CORE_L_CF2_R04,L,CF2,ALNS-H1,3356.0,3428.9,3445.0,29.879201238765777,3445.0,330.02007897320146,1.8576425867999204,9158.6,1.0,330.0,3445.0,5213.333333333333,0.4673439767779364,34.22826086956521,2.583454281567489,35.626598465473144
CB1_CORE_L_CF2_R04,L,CF2,Adapted DCGA,4698.0,4756.1,4764.0,41.81028581581331,4805.0,361.58145587859906,251.1463400171022,3122.0,1.0,330.0,3445.0,5213.333333333333,-38.058055152394786,8.770460358056255,-36.37155297532656,9.884910485933498
CB1_CORE_L_CF2_R04,L,CF2,GA,3568.0,3917.9,3872.5,235.61618978518618,4294.0,330.0158955675055,285.48356607870664,9329.8,1.0,330.0,3445.0,5213.333333333333,-13.72714078374456,24.848465473145776,-3.5703918722786647,31.56010230179028
CB1_CORE_L_CF2_R05,L,CF2,ALNS-H1,4529.0,4655.5,4651.0,77.352368346993,4775.0,358.01850076939735,203.18520416999527,8490.3,1.0,358.0,4868.0,6973.0,4.3652423993426455,33.235336297146134,6.963845521774856,35.049476552416465
CB1_CORE_L_CF2_R05,L,CF2,Adapted DCGA,5387.0,5483.6,5478.0,46.25340828282581,5545.0,358.1511030266003,252.35299560730056,2638.8,1.0,358.0,4868.0,6973.0,-12.645850451930984,21.359529614226297,-10.661462612982744,22.74487308188728
CB1_CORE_L_CF2_R05,L,CF2,GA,4905.0,5131.1,5169.5,137.31104188018614,5357.0,358.01662347290255,336.77754270050207,9009.5,1.0,358.0,4868.0,6973.0,-5.404683648315538,26.414742578517135,-0.7600657354149548,29.657249390506237
CB1_CORE_L_CF3_R01,L,CF3,ALNS-H1,4838.0,4926.8,4924.0,57.85960018297159,5011.0,386.0303105643019,226.4255816403078,8120.6,1.0,386.0,5104.0,6767.666666666667,3.471786833855796,27.20090627000936,5.2115987460815045,28.513027631384524
CB1_CORE_L_CF3_R01,L,CF3,Adapted DCGA,5882.0,5951.9,5953.0,51.71170080358996,6045.0,386.1296272466978,282.4181606472004,2619.4,1.0,386.0,5104.0,6767.666666666667,-16.612460815047015,12.053883662512938,-15.24294670846395,13.08673595035217
CB1_CORE_L_CF3_R01,L,CF3,GA,5423.0,5635.1,5634.0,155.30861749003716,5859.0,386.0230821685021,353.41815519889644,8137.3,1.0,386.0,5104.0,6767.666666666667,-10.40556426332289,16.734965276067573,-6.25,19.86898487908191
CB1_CORE_L_CF3_R02,L,CF3,ALNS-H1,3614.0,3749.8,3806.0,77.50813577367936,3806.0,334.01796925769884,2.088445550497272,9084.0,1.0,334.0,3806.0,6771.0,1.4766158696794487,44.619701668881994,5.044666316342617,46.62531383842859
CB1_CORE_L_CF3_R02,L,CF3,Adapted DCGA,4787.0,4909.9,4923.5,52.51973174171989,4976.0,344.19095740760093,273.33680549090207,2962.2,1.0,334.0,3806.0,6771.0,-29.004203888596944,27.486338797814213,-25.775091960063058,29.301432580121105
CB1_CORE_L_CF3_R02,L,CF3,GA,3900.0,4208.0,4220.5,231.29778785510825,4612.0,334.0156895419001,293.79907887829756,9402.5,1.0,334.0,3806.0,6771.0,-10.562270099842355,37.852606705065725,-2.4697845507094063,42.40141781125388
CB1_CORE_L_CF3_R03,L,CF3,ALNS-H1,3877.0,4010.3,4059.0,78.16229554231657,4071.0,352.0215923529031,2.9503897761984264,8756.3,1.0,352.0,4071.0,5979.666666666667,1.4910341439449721,32.93438876191538,4.765413903217882,35.16361001170634
CB1_CORE_L_CF3_R03,L,CF3,Adapted DCGA,5141.0,5259.1,5269.5,72.2533351786923,5352.0,352.1370039898931,290.28689344569284,2709.0,1.0,352.0,4071.0,5979.666666666667,-29.184475558830762,12.050281509560174,-26.28346843527389,14.025307988182178
CB1_CORE_L_CF3_R03,L,CF3,GA,4210.0,4377.8,4304.0,158.7246392691163,4696.0,352.0146314756974,342.76909961309866,9071.7,1.0,352.0,4071.0,5979.666666666667,-7.536231884057975,26.788561235297397,-3.414394497666421,29.594737722281064
CB1_CORE_L_CF3_R04,L,CF3,ALNS-H1,3669.0,3966.4,3986.5,132.9663282355517,4126.0,348.01222571349933,126.69529145260167,9767.8,1.0,348.0,4126.0,4687.333333333333,3.8681531749878797,15.380457971838993,11.076102762966553,21.725216896600763
CB1_CORE_L_CF3_R04,L,CF3,Adapted DCGA,5259.0,5464.7,5460.0,86.4819184698296,5595.0,348.1227519476,273.6435767025017,2757.0,1.0,348.0,4126.0,4687.333333333333,-32.4454677653902,-16.584411890200546,-27.460009694619487,-12.19598919072679
CB1_CORE_L_CF3_R04,L,CF3,GA,4404.0,4684.8,4721.0,182.5192836083049,4948.0,348.01905233820435,318.0177609329985,8871.7,1.0,348.0,4126.0,4687.333333333333,-13.543383422200682,0.054046366093006296,-6.737760542898691,6.0446593656663286
CB1_CORE_L_CF3_R05,L,CF3,ALNS-H1,3633.0,3681.6,3687.0,17.076299364909264,3687.0,366.0045681943011,2.53418555840035,14257.2,1.0,366.0,3687.0,9517.0,0.14646053702197154,61.31554061153725,1.4646053702196908,61.82620573710203
CB1_CORE_L_CF3_R05,L,CF3,Adapted DCGA,5127.0,5223.4,5233.0,57.36278313409215,5284.0,366.1700363234995,263.55564037599834,2673.2,1.0,366.0,3687.0,9517.0,-41.67073501491727,45.115057265945154,-39.05614320585842,46.127981506777346
CB1_CORE_L_CF3_R05,L,CF3,GA,4307.0,4634.3,4563.0,226.77646850294383,5165.0,366.0170713889005,336.2355411989032,8753.2,1.0,366.0,3687.0,9517.0,-25.692975318687285,51.30503309866555,-16.815839435855708,54.744142061574024
CB1_CORE_M_CF1_R01,M,CF1,ALNS-H1,2634.0,2731.6,2734.0,63.8108315431026,2835.0,228.005488177191,177.26593051809178,11392.5,1.0,228.0,3039.0,3395.6666666666665,10.115169463639358,19.556297241582406,13.32675222112537,22.430548738588396
CB1_CORE_M_CF1_R01,M,CF1,Adapted DCGA,3183.0,3260.0,3255.5,46.88283267892414,3346.0,239.3141570266016,156.99112561029906,4088.8,1.0,228.0,3039.0,3395.6666666666665,-7.272128989799276,3.9952881122999857,-4.738400789733465,6.2628840679297095
CB1_CORE_M_CF1_R01,M,CF1,GA,2577.0,2797.3,2813.0,188.37731049972848,3121.0,228.01197976049735,178.29378705829149,12050.0,1.0,228.0,3039.0,3395.6666666666665,7.953274103323456,17.62147835476587,15.202369200394866,24.109158731716892
CB1_CORE_M_CF1_R02,M,CF1,ALNS-H1,3366.0,3442.3,3447.5,51.8160206885862,3520.0,260.0106496013992,144.79932109649525,11007.8,1.0,260.0,3520.0,4871.333333333333,2.2073863636363584,29.33556863281784,4.375,30.90187491446558
