instance_id,algorithm,seed,makespan,runtime,time_limit,time_to_best,decoder_evaluations,feasible,suite,freeze_hash,result_path,scale,CF_level,number_of_operations,runtime_ratio
CB1_CORE_L_CF1_R03,Adapted DCGA,530108,5119.0,346.1942627740209,346.0,342.3972326690273,2696,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530108.json,L,CF1,173,1.0005614531041067
CB1_CORE_L_CF1_R03,Adapted DCGA,530109,5200.0,346.04075411101803,346.0,298.43066301802173,2632,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530109.json,L,CF1,173,1.000117786448029
CB1_CORE_L_CF1_R03,Adapted DCGA,530110,5150.0,346.1535806799948,346.0,239.13941046001855,2868,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530110.json,L,CF1,173,1.0004438747976727
CB1_CORE_L_CF1_R04,Adapted DCGA,530101,4863.0,344.03195243902155,344.0,331.87825505199726,2826,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530101.json,L,CF1,172,1.0000928849971558
CB1_CORE_L_CF1_R04,Adapted DCGA,530102,4924.0,344.1774404020107,344.0,277.3660130290082,2890,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530102.json,L,CF1,172,1.000515815122124
CB1_CORE_L_CF1_R04,Adapted DCGA,530103,4832.0,344.10416837598314,344.0,322.44495996800833,2784,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530103.json,L,CF1,172,1.0003028150464626
CB1_CORE_L_CF1_R04,Adapted DCGA,530104,4917.0,344.24396587201045,344.0,188.65537367001525,2834,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530104.json,L,CF1,172,1.0007092031163094
CB1_CORE_L_CF1_R04,Adapted DCGA,530105,4874.0,344.0689221530047,344.0,241.03762178099714,2642,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530105.json,L,CF1,172,1.0002003550959437
CB1_CORE_L_CF1_R04,Adapted DCGA,530106,4773.0,464.6984811849834,344.0,116.5233629430004,3994,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530106.json,L,CF1,172,1.3508676778633237
CB1_CORE_L_CF1_R04,Adapted DCGA,530107,4815.0,344.0426164509845,344.0,261.6907057069766,2684,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530107.json,L,CF1,172,1.0001238850319316
CB1_CORE_L_CF1_R04,Adapted DCGA,530108,4894.0,344.22649063999415,344.0,116.3430281500041,2748,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530108.json,L,CF1,172,1.0006584030232388
CB1_CORE_L_CF1_R04,Adapted DCGA,530109,4930.0,344.02676903500105,344.0,316.9125962280086,2746,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530109.json,L,CF1,172,1.0000778169622124
CB1_CORE_L_CF1_R04,Adapted DCGA,530110,4893.0,344.25250999900163,344.0,147.61695900399354,2756,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R04/seed_530110.json,L,CF1,172,1.0007340406947722
CB1_CORE_L_CF1_R05,Adapted DCGA,530101,5415.0,342.0071402679896,342.0,321.510593983985,2648,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530101.json,L,CF1,171,1.0000208779765778
