curve_type,rank_variable,x,lower,upper,count,mean_probability,positive_rate,negative_outcome_rate,mean_advantage,mean_rank_statistic,coverage
selective_coverage,selector_lcb_lambda_0_5,0.8500000000000001,,,245,0.49598219990730286,0.5836734693877551,0.4163265306122449,0.008473829077037243,-0.22864797347205262,
selective_coverage,selector_lcb_lambda_0_5,0.9000000000000001,,,260,0.4874308109283447,0.5807692307692308,0.41923076923076924,0.007979949848268511,-0.25221870242712385,
selective_coverage,selector_lcb_lambda_0_5,0.9500000000000001,,,274,0.48193883895874023,0.5693430656934306,0.4306569343065693,0.007816381080473365,-0.2762163292326805,
selective_coverage,selector_lcb_lambda_0_5,1.0,,,288,0.4764787256717682,0.5659722222222222,0.4340277777777778,0.00751635417065437,-0.3087914627421873,
probability_threshold,selector_probability,0.0,,,288,0.47647878527641296,0.5659722222222222,0.4340277777777778,0.00751635417065437,,1.0
probability_threshold,selector_probability,0.05,,,288,0.47647878527641296,0.5659722222222222,0.4340277777777778,0.00751635417065437,,1.0
probability_threshold,selector_probability,0.1,,,288,0.47647878527641296,0.5659722222222222,0.4340277777777778,0.00751635417065437,,1.0
probability_threshold,selector_probability,0.15000000000000002,,,288,0.47647878527641296,0.5659722222222222,0.4340277777777778,0.00751635417065437,,1.0
probability_threshold,selector_probability,0.2,,,287,0.4774789810180664,0.5679442508710801,0.43205574912891986,0.007542543558008566,,0.9965277777777778
probability_threshold,selector_probability,0.25,,,286,0.47838571667671204,0.5664335664335665,0.43356643356643354,0.007548998149836624,,0.9930555555555556
probability_threshold,selector_probability,0.30000000000000004,,,281,0.48175081610679626,0.5693950177935944,0.4306049822064057,0.007624148980427159,,0.9756944444444444
probability_threshold,selector_probability,0.35000000000000003,,,269,0.4884374737739563,0.5724907063197026,0.4275092936802974,0.007830783125265814,,0.9340277777777778
probability_threshold,selector_probability,0.4,,,243,0.5007352232933044,0.588477366255144,0.411522633744856,0.008350012753586333,,0.84375
probability_threshold,selector_probability,0.45,,,210,0.5119937658309937,0.6047619047619047,0.3952380952380952,0.009527591116375205,,0.7291666666666666
probability_threshold,selector_probability,0.5,,,146,0.5267236232757568,0.636986301369863,0.363013698630137,0.011934582972067552,,0.5069444444444444
probability_threshold,selector_probability,0.55,,,14,0.5636435747146606,0.7142857142857143,0.2857142857142857,0.017804858341819853,,0.04861111111111111
probability_threshold,selector_probability,0.6000000000000001,,,0,,,,,,0.0
probability_threshold,selector_probability,0.65,,,0,,,,,,0.0
probability_threshold,selector_probability,0.7000000000000001,,,0,,,,,,0.0
probability_threshold,selector_probability,0.75,,,0,,,,,,0.0
probability_threshold,selector_probability,0.8,,,0,,,,,,0.0
probability_threshold,selector_probability,0.8500000000000001,,,0,,,,,,0.0
probability_threshold,selector_probability,0.9,,,0,,,,,,0.0
probability_threshold,selector_probability,0.9500000000000001,,,0,,,,,,0.0
probability_threshold,selector_probability,1.0,,,0,,,,,,0.0
