state_id,instance_id,mean_rank_spearman,top_arm_agreement,improvement_sign_agreement,mean_relative_improvement_variance
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000104,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.40659340659340665,False,0.2857142857142857,0.00030554716561605633
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000181,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5296703296703297,False,0.6428571428571429,0.000357828164160401
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000260,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.6336996336996337,False,1.0,0.0003729329485563174
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000302,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5604395604395604,False,0.9285714285714286,0.0002254943759503465
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000515,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.42710622710622714,True,0.9285714285714286,0.000252494756572863
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000536,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.22051282051282048,False,1.0,0.00040227316918476996
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000570,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5399267399267399,False,0.8571428571428571,0.00028393112847851213
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000676,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.7714285714285715,False,0.9285714285714286,0.00013634929671884282
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000690,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5633699633699635,False,0.9285714285714286,0.00028829967885917373
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000721,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5926739926739927,False,0.9285714285714286,0.00027328702300235863
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000841,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5663003663003663,False,1.0,0.00034946327302187415
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0000922,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.6996336996336997,False,0.9285714285714286,0.0001617526079955192
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0001001,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.5926739926739927,False,1.0,0.00022038249767455817
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0001074,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.7245421245421246,False,1.0,0.00040148878286874496
CB1_TRAIN_L_CF1_RI2_TI1_R01__it0001084,CB1_TRAIN_L_CF1_RI2_TI1_R01,0.6146520146520147,False,1.0,0.0003060050159530311
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0000005,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.6688644688644688,False,0.6428571428571429,0.00014616587566523018
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0000173,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.3406593406593406,False,0.6428571428571429,0.00011539573408143685
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0000450,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.30256410256410254,False,0.9285714285714286,0.00021987442153659077
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0000680,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.747985347985348,True,0.9285714285714286,0.00013730008057687192
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0000870,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.6923076923076922,False,0.9285714285714286,0.0001859959804258009
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0000951,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.6849816849816851,False,1.0,0.00012255992444028818
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0001008,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.5091575091575091,False,0.9285714285714286,0.00020720676505656777
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0001235,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.5487179487179487,False,1.0,0.00017979118352116387
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0001418,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.7802197802197802,False,1.0,0.00017777279586568206
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0001429,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.4945054945054945,False,1.0,0.00020454677793746708
CB1_TRAIN_L_CF1_RI2_TI2_R01__it0001580,CB1_TRAIN_L_CF1_RI2_TI2_R01,0.5692307692307693,False,1.0,0.00016801277977323526
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000025,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.6391941391941391,True,0.8461538461538461,0.00015537368034429622
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000197,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.4194139194139194,False,0.6153846153846154,0.00014035182641959997
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000270,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.643956043956044,False,0.6428571428571429,0.00014130573937988196
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000422,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.5282051282051282,False,0.9285714285714286,0.0001475190273663096
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000471,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.7098901098901099,False,0.8571428571428571,0.0001486599183106475
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000490,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.21172161172161172,False,1.0,0.0001026951931229052
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000579,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.6,False,0.9285714285714286,0.00020009115110133704
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000611,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.6849816849816849,False,1.0,0.00015620921885681546
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000655,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.7054945054945055,False,1.0,9.431901794294879e-05
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000744,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.49010989010989015,False,0.5,0.00020594539055194776
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000811,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.7391941391941392,False,0.7857142857142857,8.215120383562456e-05
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000902,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.6351648351648351,False,0.6428571428571429,0.00018059228254408728
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0000967,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.6483516483516484,False,0.7142857142857143,0.0002057912632954761
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0001022,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.6395604395604396,False,0.7142857142857143,0.00018692003210398088
CB1_TRAIN_L_CF1_RI2_TI3_R01__it0001187,CB1_TRAIN_L_CF1_RI2_TI3_R01,0.5413919413919414,False,0.9285714285714286,0.00010666948084846714
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0000217,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.38608058608058604,False,0.9285714285714286,0.0006947583361270054
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0000448,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.6454212454212455,False,1.0,0.0003815836005034566
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0000453,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.6879120879120878,False,1.0,0.0002511373557808293
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0000686,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.30402930402930406,False,1.0,0.0006052551517190357
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0000722,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.5575091575091574,False,1.0,0.0003308151006269061
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0000735,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.575091575091575,False,0.9285714285714286,0.00018912911160179458
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0001067,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.5648351648351648,False,1.0,0.0002896834721536474
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0001390,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.6282051282051282,False,1.0,0.00030816711548550026
CB1_TRAIN_L_CF1_RI3_TI1_R01__it0001744,CB1_TRAIN_L_CF1_RI3_TI1_R01,0.4754578754578755,False,1.0,0.00041279949021610186
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0000089,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.8534798534798536,False,0.6428571428571429,0.0001480686326423678
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0000649,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.5926739926739927,False,1.0,0.00014747782756541257
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0000701,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.3717948717948718,False,1.0,0.00022641157518140564
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001087,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.6586080586080586,False,0.9285714285714286,0.0002349313749400055
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001123,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.5413919413919415,False,1.0,0.0002012893439272969
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001298,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.6293040293040293,False,1.0,0.000268051980490192
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001365,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.7406593406593407,False,1.0,0.00016355768062095716
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001380,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.7435897435897436,False,1.0,0.0001851240926227908
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001424,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.8095238095238096,False,1.0,0.00012939847201100152
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001452,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.5663003663003664,False,1.0,0.00026919784214815817
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001575,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.6307692307692307,False,1.0,0.0002485192339888267
CB1_TRAIN_L_CF1_RI3_TI2_R01__it0001643,CB1_TRAIN_L_CF1_RI3_TI2_R01,0.8271062271062272,False,1.0,0.00013081088721498218
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0000099,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.6644688644688644,False,0.5714285714285714,0.00013063143726919191
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0000119,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.6586080586080586,False,0.8571428571428571,0.00013271915677030963
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0000149,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.8183150183150184,True,0.8571428571428571,0.00011688516310111331
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0000755,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.5501831501831501,False,0.9285714285714286,0.00012960977252229894
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0000914,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.4490842490842491,False,1.0,0.0001821645156596112
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0000961,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.5062271062271062,False,0.8571428571428571,0.00018831824533403055
CB1_TRAIN_L_CF1_RI3_TI3_R01__it0001047,CB1_TRAIN_L_CF1_RI3_TI3_R01,0.6336996336996337,False,1.0,0.00011571694074300075
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000092,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.27619047619047615,False,0.5,0.00044038158958180113
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000243,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.8124542124542126,False,0.9285714285714286,0.0003647828507516723
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000250,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.7611721611721611,False,0.9285714285714286,0.00039556065340239826
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000291,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.7860805860805861,False,0.7142857142857143,0.0001438730936699393
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000315,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.8241758241758242,True,0.8571428571428571,0.00027183222883850555
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000542,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.6483516483516484,False,1.0,0.0002557605947388604
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0000914,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.8626373626373627,False,1.0,0.0006002539505565219
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0001058,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.6835164835164834,True,1.0,0.0003884138435263407
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0001105,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.816849816849817,True,1.0,0.0001788703915269708
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0001128,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.9194139194139194,False,1.0,0.0003316219537067078
CB1_TRAIN_L_CF2_RI1_TI1_R01__it0001219,CB1_TRAIN_L_CF2_RI1_TI1_R01,0.9208791208791208,False,1.0,0.00026460919755640175
CB1_TRAIN_L_CF2_RI1_TI2_R01__it0000002,CB1_TRAIN_L_CF2_RI1_TI2_R01,0.767032967032967,False,0.9285714285714286,9.953919842814623e-05
CB1_TRAIN_L_CF2_RI1_TI2_R01__it0000105,CB1_TRAIN_L_CF2_RI1_TI2_R01,0.8271062271062272,False,0.7142857142857143,0.0002570888813147409
CB1_TRAIN_L_CF2_RI1_TI2_R01__it0000270,CB1_TRAIN_L_CF2_RI1_TI2_R01,0.5003663003663004,False,0.6428571428571429,0.0003032674973677097
CB1_TRAIN_L_CF2_RI1_TI2_R01__it0000319,CB1_TRAIN_L_CF2_RI1_TI2_R01,0.6512820512820512,False,0.5,0.00022749048592547114
