scale,CF_level,RI_level,TI_level,search_stage,bottleneck_proxy,arm_count,state_count,positive_fraction,mean_absolute_improvement,mean_relative_improvement,best_arm_fraction,mean_runtime,mean_decoder_evaluations
L,CF2,RI1,TI2,0-20%,RECONFIGURATION,14,1,0.07142857142857142,-149.78571428571428,-0.03480151354221986,0.07142857142857142,0.2997949291429255,8.0
L,CF2,RI1,TI2,0-20%,W_LOGISTICS,332,24,0.5331325301204819,24.481927710843372,0.0034917262611530277,0.07228915662650602,0.29111674525000464,8.0
L,CF2,RI1,TI2,20-40%,RECONFIGURATION,56,4,0.26785714285714285,-93.33928571428571,-0.021045642458763107,0.07142857142857142,0.29867700735707914,8.0
L,CF2,RI1,TI2,20-40%,W_LOGISTICS,294,21,0.17346938775510204,-97.49659863945578,-0.023052937306683886,0.07142857142857142,0.2970617087754876,8.0
L,CF2,RI1,TI2,40-60%,W_LOGISTICS,348,25,0.017241379310344827,-196.93965517241378,-0.04727638260622448,0.07183908045977011,0.2992449368879215,8.0
L,CF2,RI1,TI2,60-80%,RECONFIGURATION,151,11,0.006622516556291391,-224.10596026490066,-0.05440785634010699,0.0728476821192053,0.29940453831788894,8.0
L,CF2,RI1,TI2,60-80%,W_LOGISTICS,195,14,0.005128205128205128,-195.66153846153847,-0.04731838898707097,0.07179487179487179,0.29998637968205094,8.0
L,CF2,RI1,TI2,80-100%,RECONFIGURATION,347,25,0.002881844380403458,-218.84726224783861,-0.05313116344934173,0.07204610951008646,0.3000668351152712,8.0
L,CF2,RI1,TI3,0-20%,F_LOGISTICS,28,2,0.8571428571428571,66.07142857142857,0.008376120946319374,0.07142857142857142,0.274168120785654,8.0
L,CF2,RI1,TI3,0-20%,RECONFIGURATION,112,8,0.5267857142857143,47.50892857142857,0.00286306470965616,0.07142857142857142,0.3053599447142931,8.0
L,CF2,RI1,TI3,0-20%,W_LOGISTICS,207,15,0.7536231884057971,200.92270531400968,0.02005486370450876,0.07246376811594203,0.2931742072318985,8.0
L,CF2,RI1,TI3,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,28,2,0.32142857142857145,-78.03571428571429,-0.011319366737121306,0.07142857142857142,0.3084670953928058,8.0
L,CF2,RI1,TI3,20-40%,F_LOGISTICS,14,1,0.6428571428571429,35.357142857142854,0.0049679841024508715,0.07142857142857142,0.30980165378566327,8.0
L,CF2,RI1,TI3,20-40%,RECONFIGURATION,111,8,0.32432432432432434,-67.17117117117117,-0.010081889407252895,0.07207207207207207,0.3103860273964397,8.0
L,CF2,RI1,TI3,20-40%,W_LOGISTICS,196,14,0.15816326530612246,-119.25510204081633,-0.018312082169846755,0.07142857142857142,0.3112965127907788,8.0
L,CF2,RI1,TI3,40-60%,RECONFIGURATION,70,5,0.18571428571428572,-107.65714285714286,-0.016787224439377173,0.07142857142857142,0.3087903560428588,8.0
L,CF2,RI1,TI3,40-60%,W_LOGISTICS,277,20,0.10108303249097472,-159.24548736462094,-0.024869141910357953,0.07220216606498195,0.3106741302202016,8.0
L,CF2,RI1,TI3,60-80%,W_LOGISTICS,348,25,0.02586206896551724,-198.08045977011494,-0.031155754096614835,0.07183908045977011,0.3111139973304604,8.0
L,CF2,RI1,TI3,80-100%,W_LOGISTICS,346,25,0.005780346820809248,-196.70520231213874,-0.030947955052255935,0.07225433526011561,0.3114359450317856,8.0
L,CF2,RI2,TI1,0-20%,RECONFIGURATION,69,5,0.3188405797101449,-88.52173913043478,-0.03077942396568729,0.07246376811594203,0.2904821080869294,8.0
L,CF2,RI2,TI1,0-20%,W_LOGISTICS,278,20,0.31654676258992803,-120.4136690647482,-0.04010198345520481,0.07194244604316546,0.28699562449638644,8.0
L,CF2,RI2,TI1,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,14,1,0.14285714285714285,-205.35714285714286,-0.0725643614336194,0.07142857142857142,0.2861190685715493,8.0
L,CF2,RI2,TI1,20-40%,RECONFIGURATION,83,6,0.12048192771084337,-211.36144578313252,-0.07723103950025352,0.07228915662650602,0.29110788753006495,8.0
L,CF2,RI2,TI1,20-40%,W_LOGISTICS,251,18,0.027888446215139442,-248.41035856573706,-0.08854560199822563,0.07171314741035857,0.2892322982988011,8.0
L,CF2,RI2,TI1,40-60%,W_LOGISTICS,350,25,0.008571428571428572,-280.95142857142855,-0.10164668182757908,0.07142857142857142,0.29037727746286174,8.0
L,CF2,RI2,TI1,60-80%,W_LOGISTICS,346,25,0.005780346820809248,-287.53179190751445,-0.10402742109533808,0.07225433526011561,0.2910708818786073,8.0
L,CF2,RI2,TI1,80-100%,W_LOGISTICS,349,25,0.0057306590257879654,-277.6790830945559,-0.10046276522957882,0.07163323782234957,0.29150740930947155,8.0
L,CF2,RI2,TI2,0-20%,RECONFIGURATION,56,4,0.42857142857142855,-58.089285714285715,-0.012073355585837414,0.07142857142857142,0.2964648763750282,8.0
L,CF2,RI2,TI2,0-20%,W_LOGISTICS,293,21,0.6621160409556314,77.18430034129693,0.01431376511324598,0.07167235494880546,0.289881687457342,8.0
L,CF2,RI2,TI2,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,55,4,0.0,-316.74545454545455,-0.07332070707070708,0.07272727272727272,0.29671029130908705,8.0
L,CF2,RI2,TI2,20-40%,RECONFIGURATION,154,11,0.07792207792207792,-182.83766233766235,-0.04144686992782048,0.07142857142857142,0.2972539044350759,8.0
L,CF2,RI2,TI2,20-40%,W_LOGISTICS,138,10,0.2826086956521739,-87.28260869565217,-0.01980188736482224,0.07246376811594203,0.29718591002899525,8.0
L,CF2,RI2,TI2,40-60%,RECONFIGURATION,180,13,0.03888888888888889,-199.5888888888889,-0.045924732832233986,0.07222222222222222,0.2993727610389366,8.0
L,CF2,RI2,TI2,40-60%,W_LOGISTICS,168,12,0.005952380952380952,-212.61309523809524,-0.04923879000419066,0.07142857142857142,0.29601308185125336,8.0
