state_id,instance_id,target_set_id,oof_fold,scale,CF_level,search_stage,origin_family,primary_origin_rule,origin_destroy_operator,selected_winner,categorical_reason_count,numeric_reason_count,reason_count,multiple_causes,maximum_absolute_robust_z,categorical_reasons,numeric_reasons,reason_signature
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_ba920c34366282a27f5f,1,L,CF1,60-80%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_e7b9c499858b0d71a1d1,1,L,CF1,60-80%,ORIGINAL_OPERATOR,operator_high_reconfiguration,high_reconfiguration,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_01e871b03e568e7ba306,1,L,CF1,80-100%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_38968b272b2a6a0954ab,1,L,CF1,80-100%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_4417b16583d64f2118ae,1,L,CF1,80-100%,RELATED_VARIANT,related_variant_1,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9880308db5f3eb1b0197,1,L,CF1,80-100%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9c166d7c413dd0fa7dab,1,L,CF1,80-100%,LOCAL_PERTURBATION,related_replace_50,related,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_21d31e322b6a186b3ab6,1,L,CF1,80-100%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_478f795f8026e3f6f9d5,1,L,CF1,80-100%,ORIGINAL_OPERATOR,operator_random,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_8bf2a84f7158d218bb34,1,L,CF1,80-100%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
