dimension,group,utility,states,informative_states,informative_state_rate,positive_best_states,positive_best_state_rate,valid_spearman_states,mean_spearman_valid_states,top1_rank_informative_denominator,mean_top1_realized_rank_informative,mean_top1_normalized_rank_informative,positive_best_metric_denominator,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best,hit_at_10_positive_best,ndcg_denominator,mean_ndcg_defined,mean_top1_utility_gap_positive_best,mean_top5_utility_gap_positive_best,mean_top10_utility_gap_positive_best
stage,LATE,U1_SHORT_HORIZON,9,4,0.4444444444444444,4,0.4444444444444444,4,0.07323410454771664,4,4.0,0.008405725256912642,4,18.75,0.0,0.0,0.0,4,0.22589456141436065,18.75,16.75,12.0
stage,LATE,U2_COST_NORMALIZED,9,4,0.4444444444444444,4,0.4444444444444444,4,0.07327662809884752,4,4.0,0.008405725256912642,4,99.64115739023812,0.0,0.0,0.0,4,0.22571024023288982,99.64115739023812,92.67545055733663,65.23121257209563
stage,LATE,U3_STOCHASTIC_ROBUSTNESS,9,9,1.0,0,0.0,9,0.47222626426314207,9,58.888888888888886,0.1630746082757503,0,,,,,0,,,,
stage,MIDDLE,U0_IMMEDIATE,9,4,0.4444444444444444,4,0.4444444444444444,4,0.06426689238038927,4,3.25,0.006377319478587838,4,11.5,0.0,0.25,0.25,4,0.2973929948206098,11.5,5.25,5.25
stage,MIDDLE,U1_SHORT_HORIZON,9,5,0.5555555555555556,5,0.5555555555555556,5,0.07510859176197691,5,3.0,0.005658958646937122,5,10.0,0.0,0.2,0.4,5,0.32207183841832,10.0,5.0,4.2
stage,MIDDLE,U2_COST_NORMALIZED,9,5,0.5555555555555556,5,0.5555555555555556,5,0.07509989495863646,5,3.0,0.005658958646937122,5,53.781502284822956,0.0,0.2,0.4,5,0.32167860384253555,53.781502284822956,38.4896979948826,35.919506036555035
stage,MIDDLE,U3_STOCHASTIC_ROBUSTNESS,9,9,1.0,0,0.0,9,0.45564779776917574,9,104.44444444444444,0.29184495241599406,0,,,,,0,,,,
scale_stage,L|EARLY,U0_IMMEDIATE,3,3,1.0,3,1.0,3,0.30824329208247964,3,17.666666666666668,0.04688426210072969,3,133.0,0.0,0.3333333333333333,0.6666666666666666,3,0.5690145875579353,133.0,47.0,19.666666666666668
scale_stage,L|EARLY,U1_SHORT_HORIZON,3,3,1.0,3,1.0,3,0.3245744727448612,3,19.333333333333332,0.05153990211352943,3,133.0,0.0,0.3333333333333333,0.6666666666666666,3,0.5792923594242722,133.0,47.0,19.666666666666668
scale_stage,L|EARLY,U2_COST_NORMALIZED,3,3,1.0,3,1.0,3,0.3245825190036396,3,19.333333333333332,0.05153990211352943,3,385.56917372340723,0.0,0.3333333333333333,0.6666666666666666,3,0.5932762544252664,385.56917372340723,122.89507985550317,35.43912129410891
