instance_id,scale,CF_level,method,display_method,seed_count,seed_rpd_sd_percent_points,seed_rpd_iqr_percent_points
CB1_CORE_M_CF2_R03,M,CF2,Adapted DCGA,Adapted DCGA,5,1.9686156803349697,0.48192771084337593
CB1_CORE_M_CF2_R03,M,CF2,CSG-NI Phase6H provisional,CSG-NI,5,1.2531255268165589,1.101549053356282
CB1_CORE_M_CF2_R03,M,CF2,DABC-RIACRSP,DABC,5,2.570416867983414,3.3046471600688463
CB1_CORE_M_CF2_R03,M,CF2,GA,GA,5,3.568381006926895,3.820998278829604
CB1_CORE_M_CF2_R03,M,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.898074799489584,2.8915662650602414
CB1_CORE_M_CF2_R04,M,CF2,Adapted DCGA,Adapted DCGA,5,1.5601327342249685,0.7174581482746838
CB1_CORE_M_CF2_R04,M,CF2,CSG-NI Phase6H provisional,CSG-NI,5,2.0904760561364335,1.0932695592757087
CB1_CORE_M_CF2_R04,M,CF2,DABC-RIACRSP,DABC,5,1.6587292145227535,1.9132217287324895
CB1_CORE_M_CF2_R04,M,CF2,GA,GA,5,2.9297676864954756,2.9723266142808336
CB1_CORE_M_CF2_R04,M,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.900358836664961,5.773829859924838
CB1_CORE_M_CF2_R05,M,CF2,Adapted DCGA,Adapted DCGA,5,0.2860775588048313,0.12714558169103718
CB1_CORE_M_CF2_R05,M,CF2,CSG-NI Phase6H provisional,CSG-NI,5,1.8149725610126741,2.161474888747616
CB1_CORE_M_CF2_R05,M,CF2,DABC-RIACRSP,DABC,5,3.141116734971299,5.530832803560077
CB1_CORE_M_CF2_R05,M,CF2,GA,GA,5,4.293752603514442,7.151938970120788
CB1_CORE_M_CF2_R05,M,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.9631843156808273,5.530832803560076
CB1_CORE_M_CF3_R01,M,CF3,Adapted DCGA,Adapted DCGA,5,0.6646901092077027,1.1606140022463514
CB1_CORE_M_CF3_R01,M,CF3,CSG-NI Phase6H provisional,CSG-NI,5,0.9142364169929369,1.1606140022463505
CB1_CORE_M_CF3_R01,M,CF3,DABC-RIACRSP,DABC,5,6.385841372943814,11.044552602021714
CB1_CORE_M_CF3_R01,M,CF3,GA,GA,5,5.3300139492391345,7.338075627105952
CB1_CORE_M_CF3_R01,M,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.942706682902679,6.8513665293897414
CB1_CORE_M_CF3_R02,M,CF3,Adapted DCGA,Adapted DCGA,5,0.9581514300715294,0.2500781494216966
CB1_CORE_M_CF3_R02,M,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.7653606680604033,2.1256642700844015
CB1_CORE_M_CF3_R02,M,CF3,DABC-RIACRSP,DABC,5,4.240880455228963,6.3769928102532045
CB1_CORE_M_CF3_R02,M,CF3,GA,GA,5,6.121784954435477,10.659581119099718
CB1_CORE_M_CF3_R02,M,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.270678811506424,5.470459518599563
CB1_CORE_M_CF3_R03,M,CF3,Adapted DCGA,Adapted DCGA,5,1.057042802629816,0.8744316194473569
CB1_CORE_M_CF3_R03,M,CF3,CSG-NI Phase6H provisional,CSG-NI,5,0.4379846335781331,0.0
CB1_CORE_M_CF3_R03,M,CF3,DABC-RIACRSP,DABC,5,2.3479881192345604,2.063658621895767
CB1_CORE_M_CF3_R03,M,CF3,GA,GA,5,4.290343292067702,5.6663168940188875
CB1_CORE_M_CF3_R03,M,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.439123405887246,2.4484085344526054
CB1_CORE_M_CF3_R04,M,CF3,Adapted DCGA,Adapted DCGA,5,1.0915005747790405,1.787487586891757
CB1_CORE_M_CF3_R04,M,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.1620036680258137,2.0523005627275737
CB1_CORE_M_CF3_R04,M,CF3,DABC-RIACRSP,DABC,5,3.6157367011019748,4.270109235352532
CB1_CORE_M_CF3_R04,M,CF3,GA,GA,5,10.776970056390288,7.017543859649122
CB1_CORE_M_CF3_R04,M,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.8421747348487774,4.899040052962595
CB1_CORE_M_CF3_R05,M,CF3,Adapted DCGA,Adapted DCGA,5,0.7695035287037248,0.9650582362728777
CB1_CORE_M_CF3_R05,M,CF3,CSG-NI Phase6H provisional,CSG-NI,5,0.20835242386021327,0.2329450915141429
CB1_CORE_M_CF3_R05,M,CF3,DABC-RIACRSP,DABC,5,1.4268796389030516,1.6971713810316142
CB1_CORE_M_CF3_R05,M,CF3,GA,GA,5,5.185766443806316,1.2645590682196346
CB1_CORE_M_CF3_R05,M,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.572422379147541,5.457570715474209
CB1_CORE_S_CF1_R01,S,CF1,Adapted DCGA,Adapted DCGA,5,0.7213122508063838,1.267281105990783
CB1_CORE_S_CF1_R01,S,CF1,CSG-NI Phase6H provisional,CSG-NI,5,2.149705991818504,1.209677419354839
CB1_CORE_S_CF1_R01,S,CF1,DABC-RIACRSP,DABC,5,3.3742683961604207,2.2465437788018434
CB1_CORE_S_CF1_R01,S,CF1,GA,GA,5,1.676158404622882,1.6129032258064515
CB1_CORE_S_CF1_R01,S,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,6.897136472193755,9.792626728110598
CB1_CORE_S_CF1_R02,S,CF1,Adapted DCGA,Adapted DCGA,5,0.2997958253333944,0.5169172932330826
CB1_CORE_S_CF1_R02,S,CF1,CSG-NI Phase6H provisional,CSG-NI,5,0.7788569616157031,1.080827067669173
CB1_CORE_S_CF1_R02,S,CF1,DABC-RIACRSP,DABC,5,0.9383211255052858,0.8928571428571432
CB1_CORE_S_CF1_R02,S,CF1,GA,GA,5,1.6365262300510466,2.4436090225563913
CB1_CORE_S_CF1_R02,S,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,1.4683176559079913,1.5037593984962405
CB1_CORE_S_CF1_R03,S,CF1,Adapted DCGA,Adapted DCGA,5,0.7914666626619782,0.5920663114268798
CB1_CORE_S_CF1_R03,S,CF1,CSG-NI Phase6H provisional,CSG-NI,5,1.622520971704526,2.2498519834221433
CB1_CORE_S_CF1_R03,S,CF1,DABC-RIACRSP,DABC,5,2.5473992771154257,2.723505032563647
CB1_CORE_S_CF1_R03,S,CF1,GA,GA,5,3.0439925024888344,4.262877442273535
CB1_CORE_S_CF1_R03,S,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,1.8465446282423665,0.4144464179988159
CB1_CORE_S_CF1_R04,S,CF1,Adapted DCGA,Adapted DCGA,5,2.3629057300104384,2.4363833243096913
CB1_CORE_S_CF1_R04,S,CF1,CSG-NI Phase6H provisional,CSG-NI,5,2.8436071575546715,2.4363833243096913
CB1_CORE_S_CF1_R04,S,CF1,DABC-RIACRSP,DABC,5,2.1897015782871314,3.140227395776936
CB1_CORE_S_CF1_R04,S,CF1,GA,GA,5,1.704135744975166,0.9745533297238764
CB1_CORE_S_CF1_R04,S,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.819324331914794,6.009745533297239
CB1_CORE_S_CF1_R05,S,CF1,Adapted DCGA,Adapted DCGA,5,1.0212276966124532,1.8292682926829276
CB1_CORE_S_CF1_R05,S,CF1,CSG-NI Phase6H provisional,CSG-NI,5,2.2532117337685214,2.439024390243903
CB1_CORE_S_CF1_R05,S,CF1,DABC-RIACRSP,DABC,5,1.735182017241008,1.8902439024390247
CB1_CORE_S_CF1_R05,S,CF1,GA,GA,5,1.3665884347636432,0.36585365853658525
CB1_CORE_S_CF1_R05,S,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.957695812490416,6.036585365853658
CB1_CORE_S_CF2_R01,S,CF2,Adapted DCGA,Adapted DCGA,5,1.0513474461960355,0.6376195536663136
CB1_CORE_S_CF2_R01,S,CF2,CSG-NI Phase6H provisional,CSG-NI,5,1.235659243676823,0.0
CB1_CORE_S_CF2_R01,S,CF2,DABC-RIACRSP,DABC,5,1.8761232289836554,0.3719447396386819
CB1_CORE_S_CF2_R01,S,CF2,GA,GA,5,2.0842862226327483,1.7003188097768334
CB1_CORE_S_CF2_R01,S,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.237231645232826,2.709883103081828
CB1_CORE_S_CF2_R02,S,CF2,Adapted DCGA,Adapted DCGA,5,1.631177893933375,1.122112211221122
CB1_CORE_S_CF2_R02,S,CF2,CSG-NI Phase6H provisional,CSG-NI,5,2.0958524937621794,0.0
CB1_CORE_S_CF2_R02,S,CF2,DABC-RIACRSP,DABC,5,1.6935549583636533,0.8580858085808583
CB1_CORE_S_CF2_R02,S,CF2,GA,GA,5,4.401853458375308,2.7062706270627057
CB1_CORE_S_CF2_R02,S,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.503643501673988,4.554455445544555
CB1_CORE_S_CF2_R03,S,CF2,Adapted DCGA,Adapted DCGA,5,1.4833639238852294,2.468354430379746
CB1_CORE_S_CF2_R03,S,CF2,CSG-NI Phase6H provisional,CSG-NI,5,2.98295376077472,3.924050632911392
CB1_CORE_S_CF2_R03,S,CF2,DABC-RIACRSP,DABC,5,1.5048125543023505,2.7215189873417724
CB1_CORE_S_CF2_R03,S,CF2,GA,GA,5,3.2958218878391405,1.962025316455696
CB1_CORE_S_CF2_R03,S,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.105736741052577,6.835443037974684
CB1_CORE_S_CF2_R04,S,CF2,Adapted DCGA,Adapted DCGA,5,2.5234220511462473,3.037667071688942
CB1_CORE_S_CF2_R04,S,CF2,CSG-NI Phase6H provisional,CSG-NI,5,3.185468660569322,3.159173754556501
CB1_CORE_S_CF2_R04,S,CF2,DABC-RIACRSP,DABC,5,4.876302527296446,5.407047387606318
CB1_CORE_S_CF2_R04,S,CF2,GA,GA,5,2.263663305821167,3.2806804374240586
CB1_CORE_S_CF2_R04,S,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.282270282869047,0.30376670716889365
CB1_CORE_S_CF2_R05,S,CF2,Adapted DCGA,Adapted DCGA,5,0.7121533107792473,0.7532956685499066
CB1_CORE_S_CF2_R05,S,CF2,CSG-NI Phase6H provisional,CSG-NI,5,3.170088195107881,4.8964218455743875
CB1_CORE_S_CF2_R05,S,CF2,DABC-RIACRSP,DABC,5,1.4812686708100566,1.25549278091651
CB1_CORE_S_CF2_R05,S,CF2,GA,GA,5,2.9049807814605364,3.327055869428751
CB1_CORE_S_CF2_R05,S,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.00436974778275,1.4438166980539862
CB1_CORE_S_CF3_R01,S,CF3,Adapted DCGA,Adapted DCGA,5,1.1978205385151812,1.4445173998686816
CB1_CORE_S_CF3_R01,S,CF3,CSG-NI Phase6H provisional,CSG-NI,5,2.040533350100321,1.3131976362442543
CB1_CORE_S_CF3_R01,S,CF3,DABC-RIACRSP,DABC,5,1.757306729917404,1.7728168089297442
CB1_CORE_S_CF3_R01,S,CF3,GA,GA,5,1.9372447133200168,3.282994090610637
CB1_CORE_S_CF3_R01,S,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.942492813853559,4.464871963230466
CB1_CORE_S_CF3_R02,S,CF3,Adapted DCGA,Adapted DCGA,5,0.7076369573688474,0.713860797144557
CB1_CORE_S_CF3_R02,S,CF3,CSG-NI Phase6H provisional,CSG-NI,5,0.8716623921746707,0.7733491969066035
CB1_CORE_S_CF3_R02,S,CF3,DABC-RIACRSP,DABC,5,1.0468944302198424,0.7733491969066035
CB1_CORE_S_CF3_R02,S,CF3,GA,GA,5,1.319918768859055,1.5466983938132064
CB1_CORE_S_CF3_R02,S,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.0007921960335904,2.4985127900059494
CB1_CORE_S_CF3_R03,S,CF3,Adapted DCGA,Adapted DCGA,5,2.1561482551037963,2.2900763358778633
CB1_CORE_S_CF3_R03,S,CF3,CSG-NI Phase6H provisional,CSG-NI,5,2.467494016896272,2.5249559600704634
CB1_CORE_S_CF3_R03,S,CF3,DABC-RIACRSP,DABC,5,1.7966756024206016,0.234879624192601
CB1_CORE_S_CF3_R03,S,CF3,GA,GA,5,2.1822959007289855,2.9947152084556663
CB1_CORE_S_CF3_R03,S,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,1.5297634371072717,2.172636523781562
CB1_CORE_S_CF3_R04,S,CF3,Adapted DCGA,Adapted DCGA,5,2.8081232709070054,3.3499643620812556
CB1_CORE_S_CF3_R04,S,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.5471947029183333,0.6414825374198152
CB1_CORE_S_CF3_R04,S,CF3,DABC-RIACRSP,DABC,5,6.043627846649899,8.125445473984318
CB1_CORE_S_CF3_R04,S,CF3,GA,GA,5,3.921661091800715,4.3478260869565215
CB1_CORE_S_CF3_R04,S,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.7545252670442135,6.272273699215965
CB1_CORE_S_CF3_R05,S,CF3,Adapted DCGA,Adapted DCGA,5,1.118356424761171,0.26863666890530524
CB1_CORE_S_CF3_R05,S,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.8669765323190384,0.9402283411685692
CB1_CORE_S_CF3_R05,S,CF3,DABC-RIACRSP,DABC,5,1.4194277074898152,1.8132975151108122
CB1_CORE_S_CF3_R05,S,CF3,GA,GA,5,2.697843181937488,1.8132975151108126
CB1_CORE_S_CF3_R05,S,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.718953114583494,1.343183344526528
