instance_id,scale,CF_level,method,mean_final_makespan,median_final_makespan,best_final_makespan,mean_rpd_percent,mean_decoder_evaluations
CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,PHASE6N_DETERMINISTIC_TOP1,2857.3333333333335,2858.0,2856.0,8.273335859542755,21526.333333333332
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,ALNS,3204.3333333333335,3204.0,3167.0,9.662331736253707,38283.0
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,LG_HGA_2O,2950.3333333333335,2940.0,2922.0,0.9696554871092858,35499.333333333336
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,P1_CSG_ADAPTIVE_PORTFOLIO,3230.3333333333335,3220.0,3188.0,10.55213324207164,21202.0
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,PHASE6H,3186.0,3138.0,3137.0,9.034907597535934,17576.666666666668
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,PHASE6N_DETERMINISTIC_TOP1,3142.3333333333335,3160.0,3100.0,7.540497376226329,21459.666666666668
CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,ALNS,1684.0,1677.0,1657.0,2.370820668693009,55011.333333333336
CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,LG_HGA_2O,1670.0,1649.0,1647.0,1.5197568389057752,50611.333333333336
CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,P1_CSG_ADAPTIVE_PORTFOLIO,1646.6666666666667,1647.0,1645.0,0.10131712259371833,18500.333333333332
CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,PHASE6H,1723.0,1742.0,1665.0,4.741641337386018,15684.666666666666
CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,PHASE6N_DETERMINISTIC_TOP1,1681.0,1680.0,1678.0,2.188449848024316,18726.0
CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,ALNS,1804.3333333333333,1807.0,1783.0,1.1964853243596936,56701.666666666664
CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,LG_HGA_2O,1801.0,1798.0,1794.0,1.0095344924284912,50441.333333333336
CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,P1_CSG_ADAPTIVE_PORTFOLIO,1883.0,1862.0,1854.0,5.608524957936063,17523.333333333332
CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,PHASE6H,1897.6666666666667,1895.0,1858.0,6.431108618433353,14903.333333333334
CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,PHASE6N_DETERMINISTIC_TOP1,1895.3333333333333,1903.0,1849.0,6.300243036081511,17888.0
CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,ALNS,1627.0,1618.0,1588.0,2.4559193954659952,55536.0
CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,LG_HGA_2O,1624.0,1611.0,1607.0,2.2670025188916876,49694.666666666664
CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,1719.0,1736.0,1678.0,8.249370277078086,18122.0
CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,PHASE6H,1700.6666666666667,1704.0,1677.0,7.094878253568431,15309.666666666666
CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,PHASE6N_DETERMINISTIC_TOP1,1676.6666666666667,1657.0,1627.0,5.583543240973971,18473.0
CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,ALNS,1956.3333333333333,1974.0,1884.0,3.8393489030431702,53964.666666666664
CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,LG_HGA_2O,1966.3333333333333,1972.0,1951.0,4.370134465675867,48396.0
CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,1976.3333333333333,1973.0,1958.0,4.900920028308563,18633.333333333332
CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,PHASE6H,1991.3333333333333,2003.0,1945.0,5.697098372257607,15752.0
CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,PHASE6N_DETERMINISTIC_TOP1,1972.3333333333333,1971.0,1959.0,4.688605803255485,18824.333333333332
CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,ALNS,1792.0,1792.0,1788.0,8.277945619335348,54799.333333333336
CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,LG_HGA_2O,1698.0,1697.0,1655.0,2.598187311178248,47769.333333333336
CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,P1_CSG_ADAPTIVE_PORTFOLIO,1792.3333333333333,1798.0,1775.0,8.298086606243706,18298.333333333332
CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,PHASE6H,1832.0,1814.0,1812.0,10.694864048338369,15305.0
CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,PHASE6N_DETERMINISTIC_TOP1,1832.3333333333333,1804.0,1793.0,10.715005035246728,18480.0
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,ALNS,1783.0,1797.0,1752.0,3.1231925968768075,53478.333333333336
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,LG_HGA_2O,1828.6666666666667,1825.0,1797.0,5.764411027568922,49192.666666666664
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,P1_CSG_ADAPTIVE_PORTFOLIO,1811.0,1819.0,1756.0,4.742625795257374,18556.333333333332
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,PHASE6H,1846.0,1863.0,1812.0,6.7669172932330826,15563.333333333334
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,PHASE6N_DETERMINISTIC_TOP1,1816.3333333333333,1860.0,1729.0,5.051089261615577,18859.333333333332
