method,instance_id,instance_sha256,scale,CF_level,cell_replicate,seed,num_operations,budget_seconds,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path,current_development_bks,rpd_percent,hit_current_development_bks
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,c5f935a0c647bb5931b89836d8cecd934eab4933915ffb05394716fb026d4bb9,M,CF1,C02,746103,117,234.0,2864.0,234.03034917500918,234.03045373002533,121.395902638993,21162,2646,530,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12_C02/seed_746103.json,2772.0,3.318903318903319,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12,d9ebab88d1a3e2d3da92e56533b0c1d062ebeb81d84c125ec61af8fe79e7087a,M,CF2,C01,746101,122,244.0,2856.0,244.17674205699586,244.17685940497904,220.4401098480157,21202,2651,531,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12/seed_746101.json,2782.0,2.659956865564342,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12,d9ebab88d1a3e2d3da92e56533b0c1d062ebeb81d84c125ec61af8fe79e7087a,M,CF2,C01,746102,122,244.0,2951.0,244.00018627999816,244.0004507099802,102.61959679299616,21113,2639,528,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12/seed_746102.json,2782.0,6.074766355140187,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12,d9ebab88d1a3e2d3da92e56533b0c1d062ebeb81d84c125ec61af8fe79e7087a,M,CF2,C01,746103,122,244.0,2947.0,244.00401271501323,244.00432678801008,230.2915926669957,21009,2626,526,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12/seed_746103.json,2782.0,5.93098490294752,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,9a1b7de15cfd0663d92ad81a5378da0922b92dc6f7c6b042cd8daf542a21b803,M,CF2,C02,746101,127,254.0,3793.0,254.0691925790161,254.06930812099017,64.33053823301452,21162,2646,530,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12_C02/seed_746101.json,3658.0,3.6905412793876433,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,9a1b7de15cfd0663d92ad81a5378da0922b92dc6f7c6b042cd8daf542a21b803,M,CF2,C02,746102,127,254.0,3728.0,254.00419915898237,254.0043823979795,154.68277102799038,21245,2656,532,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12_C02/seed_746102.json,3658.0,1.913613996719519,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,9a1b7de15cfd0663d92ad81a5378da0922b92dc6f7c6b042cd8daf542a21b803,M,CF2,C02,746103,127,254.0,3706.0,254.09293075700407,254.09304954498657,234.480578504008,21242,2656,532,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12_C02/seed_746103.json,3658.0,1.3121924548933843,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12,5ccadcfce0befc39234938c398bf932ff364dcf6a2ecd7adb51cebdb1d489239,M,CF3,C01,746101,118,236.0,2857.0,236.00211274498724,236.00224865198834,0.509827811998548,21210,2652,531,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12/seed_746101.json,2639.0,8.26070481242895,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12,5ccadcfce0befc39234938c398bf932ff364dcf6a2ecd7adb51cebdb1d489239,M,CF3,C01,746102,118,236.0,2829.0,236.00149372400483,236.00169011598337,220.50580775600974,21310,2664,533,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12/seed_746102.json,2639.0,7.199696854869269,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12,5ccadcfce0befc39234938c398bf932ff364dcf6a2ecd7adb51cebdb1d489239,M,CF3,C01,746103,118,236.0,2858.0,236.00211006999598,236.00237799898605,0.197142252989579,21367,2671,535,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12/seed_746103.json,2639.0,8.298597953770367,False
