method,instance_id,scale,CF_level,cell_replicate,seed,budget_seconds,result_source,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,746102,232.0,NEW_RUN,3188.0,232.1123883399996,232.1125022659835,196.14899336601957,21282,2661,533,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,746103,232.0,NEW_RUN,3220.0,232.10242376002134,232.10254110698588,113.12838640101836,21242,2656,532,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,746101,122.0,NEW_RUN,1645.0,122.09897588199237,122.09906472900184,69.85635122001986,18482,2311,463,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,746102,122.0,NEW_RUN,1647.0,122.00072817300679,122.00082451998605,113.77768410099088,18554,2320,464,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,746103,122.0,NEW_RUN,1648.0,122.0011832510063,122.00133584201103,100.28889282798627,18465,2308,462,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,746101,112.0,NEW_RUN,1862.0,112.00165776902577,112.00178293400677,96.11158992300625,17566,2196,440,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,746102,112.0,NEW_RUN,1933.0,112.07931144800386,112.07940595998662,0.25665245298296213,17482,2186,438,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,746103,112.0,NEW_RUN,1854.0,112.02668792501208,112.02676771901315,28.410356503009098,17522,2191,439,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,746101,120.0,NEW_RUN,1743.0,120.12821352199535,120.12829867302207,19.86392361301114,18122,2266,454,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,746102,120.0,NEW_RUN,1678.0,120.11442383099347,120.11450929299463,78.851053210994,18162,2271,455,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,746103,120.0,NEW_RUN,1736.0,120.05376796299242,120.05385270499391,86.84298426899477,18082,2261,453,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,746101,126.0,NEW_RUN,1958.0,126.00208134797867,126.00222293997649,96.51288232798106,18616,2327,466,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,746102,126.0,NEW_RUN,1998.0,126.16497348900884,126.16507563498453,78.10581402902608,18642,2331,467,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12_C02/seed_746102.json
