instance_id,method,makespan,runtime_seconds,inference_seconds,feasible,family,training_seed,gap_to_bc_percent
BR_Mk10,PHASE5B_DOWNSTREAM_PPO,3175.0,28.09828526599449,17.83485789722181,True,Brandimarte,520102,-5.534067241892294
BR_Mk10,PHASE5B_DOWNSTREAM_PPO,3381.0,27.59685991500737,17.625639331759885,True,Brandimarte,520103,0.5950609937518596
HU_E_la01,BC_GREEDY,1208.0,0.8256758179923054,0.6141032120503951,True,Hurink E,BC,0.0
HU_E_la01,H1,1189.0,0.028660846001002938,0.028660846001002938,True,Hurink E,NA,-1.5728476821192052
HU_E_la01,H2,1124.0,0.008065903995884582,0.008065903995884582,True,Hurink E,NA,-6.953642384105961
HU_E_la01,PHASE5B_DOWNSTREAM_PPO,1270.0,1.9795899289892986,1.7639207770698704,True,Hurink E,520101,5.132450331125828
HU_E_la01,PHASE5B_DOWNSTREAM_PPO,1242.0,1.993126753019169,1.7747834700567182,True,Hurink E,520102,2.814569536423841
HU_E_la01,PHASE5B_DOWNSTREAM_PPO,1307.0,1.9803407109866384,1.762207136984216,True,Hurink E,520103,8.195364238410596
HU_E_la02,BC_GREEDY,1306.0,0.8696864969970193,0.6425988120900001,True,Hurink E,BC,0.0
HU_E_la02,H1,1122.0,0.027428784989751875,0.027428784989751875,True,Hurink E,NA,-14.088820826952526
HU_E_la02,H2,1237.0,0.009053032990777865,0.009053032990777865,True,Hurink E,NA,-5.283307810107198
HU_E_la02,PHASE5B_DOWNSTREAM_PPO,1343.0,1.9929086799966171,1.7657620198151562,True,Hurink E,520101,2.8330781010719757
HU_E_la02,PHASE5B_DOWNSTREAM_PPO,1354.0,2.000177178008016,1.7734854780719616,True,Hurink E,520102,3.6753445635528332
HU_E_la02,PHASE5B_DOWNSTREAM_PPO,1409.0,1.9962109600019176,1.7677776609780267,True,Hurink E,520103,7.886676875957121
HU_E_la03,BC_GREEDY,1136.0,0.9065406699955929,0.6360548399679828,True,Hurink E,BC,0.0
HU_E_la03,H1,854.0,0.026430041005369276,0.026430041005369276,True,Hurink E,NA,-24.823943661971832
HU_E_la03,H2,1087.0,0.008870350022334605,0.008870350022334605,True,Hurink E,NA,-4.313380281690141
HU_E_la03,PHASE5B_DOWNSTREAM_PPO,869.0,1.98902562801959,1.7751911850646138,True,Hurink E,520101,-23.503521126760564
HU_E_la03,PHASE5B_DOWNSTREAM_PPO,929.0,1.9472072399803437,1.7300979617866687,True,Hurink E,520102,-18.221830985915492
HU_E_la03,PHASE5B_DOWNSTREAM_PPO,1015.0,1.9273833799816202,1.7032609460002277,True,Hurink E,520103,-10.651408450704226
HU_E_la04,BC_GREEDY,1061.0,0.8358750090119429,0.6132585546583869,True,Hurink E,BC,0.0
HU_E_la04,H1,821.0,0.029863000992918387,0.029863000992918387,True,Hurink E,NA,-22.620169651272384
HU_E_la04,H2,890.0,0.008712345006642863,0.008712345006642863,True,Hurink E,NA,-16.116870876531575
HU_E_la04,PHASE5B_DOWNSTREAM_PPO,856.0,1.9825699939974584,1.706208844174398,True,Hurink E,520101,-19.32139491046183
HU_E_la04,PHASE5B_DOWNSTREAM_PPO,922.0,1.9062133959960192,1.6844405470765196,True,Hurink E,520102,-13.100848256361923
HU_E_la04,PHASE5B_DOWNSTREAM_PPO,1023.0,1.9140365450002719,1.6885244298900943,True,Hurink E,520103,-3.581526861451461
HU_E_la05,BC_GREEDY,962.0,0.8419117729936261,0.6204252339957748,True,Hurink E,BC,0.0
HU_E_la05,H1,808.0,0.028839434002293274,0.028839434002293274,True,Hurink E,NA,-16.008316008316008
HU_E_la05,H2,866.0,0.008920774998841807,0.008920774998841807,True,Hurink E,NA,-9.97920997920998
HU_E_la05,PHASE5B_DOWNSTREAM_PPO,1022.0,1.9758646720147226,1.6934241669077892,True,Hurink E,520101,6.237006237006237
HU_E_la05,PHASE5B_DOWNSTREAM_PPO,850.0,1.9110232109960634,1.6962070220906753,True,Hurink E,520102,-11.642411642411643
HU_E_la05,PHASE5B_DOWNSTREAM_PPO,868.0,1.9118743230064865,1.6913281559827738,True,Hurink E,520103,-9.771309771309772
HU_E_la06,BC_GREEDY,1839.0,1.4774086789984722,1.019565842114389,True,Hurink E,BC,0.0
HU_E_la06,H1,1215.0,0.05664035500376485,0.05664035500376485,True,Hurink E,NA,-33.931484502446985
HU_E_la06,H2,1620.0,0.0164934899949003,0.0164934899949003,True,Hurink E,NA,-11.908646003262643
HU_E_la06,PHASE5B_DOWNSTREAM_PPO,1292.0,3.2854600840073545,2.84277504318743,True,Hurink E,520101,-29.744426318651442
HU_E_la06,PHASE5B_DOWNSTREAM_PPO,1483.0,3.288146797014633,2.8374566629936453,True,Hurink E,520102,-19.358346927678085
HU_E_la06,PHASE5B_DOWNSTREAM_PPO,1502.0,3.305945714004338,2.8529322188987862,True,Hurink E,520103,-18.325176726481782
HU_E_la07,BC_GREEDY,1891.0,1.4982912380073685,1.0304943728842773,True,Hurink E,BC,0.0
HU_E_la07,H1,1868.0,0.06280026401509531,0.06280026401509531,True,Hurink E,NA,-1.2162876784769963
HU_E_la07,H2,1776.0,0.017059853009413928,0.017059853009413928,True,Hurink E,NA,-6.081438392384982
HU_E_la07,PHASE5B_DOWNSTREAM_PPO,1831.0,3.352404003002448,2.874269587220624,True,Hurink E,520101,-3.1729243786356425
